iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,capital_elasticity_alpha,k_pub_share_kappa,self_employment,k_pub_share,k_oth_share,k_prv_share,reconstruction_share_sigma_h,rho,max_increased_spending,income_elasticity_eta
LBR,1616.92373356695,5493031.0,0.53567,0.5417738643394608,0.5874933870575137,0.6666666666666666,0.6666666666666666,0.2623024378712349,0.08945030399389277,0.60155,0.3546148987848225,0.786058414084892,0.3546148987848225,0.4244102718292307,0.2209748293859467,0.2209748293859467,0.06,0.05,1.5
LKA,13029.523937847,22037000.0,0.1921099999999999,0.5388648938202181,0.7103604589213257,0.6666666666666666,0.3666666666666666,0.3473223975424335,0.1550440431934355,0.6276200000000001,0.2133802264924294,0.421524073212064,0.2133802264924294,0.6292459825220684,0.1573737909855021,0.1573737909855021,0.06,0.05,1.5
LSO,2595.82952310453,2311472.0,0.30415,0.5611604077563926,0.5535284709605425,0.3333333333333333,0.2416666666666666,0.2171583394734142,0.23231199822572038,0.4478,0.5012828577226939,0.38904515515258,0.5012828577226939,0.3370286414819351,0.161688500795371,0.161688500795371,0.06,0.05,1.5
LTU,46740.4091948413,2871585.0,0.68694,0.3000856069005659,0.7972502168183648,0.8181818181818182,0.7924242424242425,0.2598650358328045,0.31892032970900014,0.47453,0.2140950920943101,0.122176170221525,0.2140950920943101,0.6922493953396126,0.0936555125660773,0.0936555125660773,0.06,0.05,1.5
LUX,132846.573735495,666430.0,0.92078,0.5560322521748641,0.7615020140084537,0.8181818181818182,0.9090909090909092,0.2372362621786413,0.41870720013219476,0.4521999999999999,0.2544681380653738,0.106911194381437,0.2544681380653738,0.6600469480405087,0.0854849138941175,0.0854849138941175,0.06,0.05,1.5
LVA,37007.3683672158,1877445.0,0.68671,0.245306406115846,0.671589012271618,0.8181818181818182,0.7757575757575758,0.1343388801775949,0.32170558195739357,0.42661,0.2155065963532678,0.133991699062351,0.2155065963532678,0.6647724914581417,0.1197209121885905,0.1197209121885905,0.06,0.05,1.5
MAR,8868.7119140625,37712505.0,0.65121,0.6986300833767103,0.5753945467297013,1.0,0.75,0.2008016416164941,0.1765697470736681,0.56153,0.2157837749410147,0.481509793036956,0.2157837749410147,0.5699302478279356,0.2142859772310497,0.2142859772310497,0.06,0.05,1.5
MDA,15855.2737421842,2457783.0,0.4337299999999999,0.4660296594661768,0.6223527965733269,0.5,0.375,0.4075954431814228,0.4814199819642095,0.4100899999999999,0.2041471873329387,0.59130121873347,0.2041471873329387,0.4300557963630606,0.3657970163040006,0.3657970163040006,0.06,0.05,1.5
MEX,22142.607281478,129739759.0,0.81582,0.4589684434333194,0.6860471970938798,0.8333333333333334,0.7083333333333334,0.2308702182062391,0.1709377936398612,0.64542,0.2402474744117965,0.318444442003303,0.2402474744117965,0.6466272849530057,0.1131252406351978,0.1131252406351978,0.06,0.05,1.5
MKD,23584.5648911173,1827816.0,0.59479,0.4800144181538514,0.4498888878447644,0.6666666666666666,0.4833333333333333,0.2633828630982844,0.2585810075757347,0.5554600000000001,0.3059672430740711,0.165411450182577,0.3059672430740711,0.6128971933591653,0.0811355635667635,0.0811355635667635,0.06,0.05,1.5
MLI,2394.67216396924,23769127.0,0.46189,0.5736654482148582,0.7149322843255466,0.6666666666666666,0.4083333333333333,0.6798061699455986,0.08993372183069254,0.6197999999999999,0.4044720799375465,0.8538099227872461,0.4044720799375465,0.3908311750527216,0.2046967450097319,0.2046967450097319,0.06,0.05,1.5
MMR,5364.13797034407,54133798.0,0.32112,0.4180693914260636,0.5050952099044907,0.5,0.5,0.3419835843207797,0.09257760793544763,0.55904,0.309896923600809,0.644735995845735,0.309896923600809,0.4574595654536497,0.2326435109455411,0.2326435109455411,0.06,0.05,1.5
MNE,27869.6498306519,616177.0,0.68502,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.5328703703703704,0.3178534786705985,0.3294896408611892,0.53505,0.2974117294906406,0.210565205854136,0.2974117294906406,0.5939149895071633,0.108673281002196,0.108673281002196,0.06,0.05,1.5
MNG,16222.8638898529,3481145.0,0.69089,0.3822381336653206,0.5190795729867352,0.8333333333333334,0.5583333333333333,0.2291432522177423,0.2841273526885573,0.65551,0.3862663683490542,0.422912654138627,0.3862663683490542,0.5021329811781952,0.1116006504727505,0.1116006504727505,0.06,0.05,1.5
MOZ,1511.63653474992,33635160.0,0.38753,0.7136908668824892,0.7816406511355944,1.0,0.5833333333333334,0.3294826964673195,0.07649153535328401,0.4797,0.5002670320937961,0.84843334276308,0.5002670320937961,0.2602448476828314,0.2394881202233725,0.2394881202233725,0.06,0.05,1.5
