iso3,hazard,rp,income_cat,fa,income_cat,v_ew
ARG,Earthquake,25.0,q5,0.0040653145700576,q5,0.633830795978134
ARG,Earthquake,50.0,q1,0.0081231834025574,q1,0.4280702923864284
ARG,Earthquake,50.0,q2,0.0081231834025574,q2,0.3203704712271822
ARG,Earthquake,50.0,q3,0.0081231834025574,q3,0.275838732624553
ARG,Earthquake,50.0,q4,0.0081231834025574,q4,0.4366425297624744
ARG,Earthquake,50.0,q5,0.0081231834025574,q5,0.633830795978134
ARG,Earthquake,100.0,q1,0.0162177032519207,q1,0.4280702923864284
ARG,Earthquake,100.0,q2,0.0162177032519207,q2,0.3203704712271822
ARG,Earthquake,100.0,q3,0.0162177032519207,q3,0.275838732624553
ARG,Earthquake,100.0,q4,0.0162177032519207,q4,0.4366425297624744
ARG,Earthquake,100.0,q5,0.0162177032519207,q5,0.633830795978134
ARG,Earthquake,250.0,q1,0.0403226411650466,q1,0.4280702923864284
ARG,Earthquake,250.0,q2,0.0403226411650466,q2,0.3203704712271822
ARG,Earthquake,250.0,q3,0.0403226411650466,q3,0.275838732624553
ARG,Earthquake,250.0,q4,0.0403226411650466,q4,0.4366425297624744
ARG,Earthquake,250.0,q5,0.0403226411650466,q5,0.633830795978134
ARG,Earthquake,500.0,q1,0.0748851023754867,q1,0.4280702923864284
ARG,Earthquake,500.0,q2,0.0748851023754867,q2,0.3203704712271822
ARG,Earthquake,500.0,q3,0.0748851023754867,q3,0.275838732624553
ARG,Earthquake,500.0,q4,0.0748851023754867,q4,0.4366425297624744
ARG,Earthquake,500.0,q5,0.0748851023754867,q5,0.633830795978134
ARG,Earthquake,1000.0,q1,0.1085581516716353,q1,0.4280702923864284
ARG,Earthquake,1000.0,q2,0.1085581516716353,q2,0.3203704712271822
ARG,Earthquake,1000.0,q3,0.1085581516716353,q3,0.275838732624553
ARG,Earthquake,1000.0,q4,0.1085581516716353,q4,0.4366425297624744
ARG,Earthquake,1000.0,q5,0.1085581516716353,q5,0.633830795978134
ARG,Earthquake,2500.0,q1,0.1755358883966423,q1,0.4280702923864284
ARG,Earthquake,2500.0,q2,0.1755358883966423,q2,0.3203704712271822
ARG,Earthquake,2500.0,q3,0.1755358883966423,q3,0.275838732624553
ARG,Earthquake,2500.0,q4,0.1755358883966423,q4,0.4366425297624744
ARG,Earthquake,2500.0,q5,0.1755358883966423,q5,0.633830795978134
ARG,Earthquake,5000.0,q1,0.2503875471175369,q1,0.4280702923864284
