iso3,income_cat,income_share,liquidity,axfin,diversified_share,n,c,gamma_SP,k
ISR,q2,0.1098901098901099,2088.661519272336,0.5794317660995795,0.27770582187702963,0.2,26611.049259233958,0.4768626441077238,99238.02718450887
ISR,q3,0.1668331668331668,2018.589080587918,0.612658308997454,0.3323830392550935,0.2,40400.41114810972,0.8665047717400893,139256.39720679724
ISR,q4,0.2377622377622378,2056.3405191529864,0.6031211981064577,0.31260927816299566,0.2,57576.63385179711,1.1614337809327504,204339.32080038835
ISR,q5,0.4295704295704296,2207.4310767354923,0.7230087269137112,0.3245980310437211,0.2,104025.01074064184,2.178863228625465,362745.5559333996
ITA,q1,0.065065065065065,1966.9644649731204,0.3538688777965296,0.4861452173496723,0.2,17343.7664729975,0.42387898255351947,99104.79075576983
ITA,q2,0.1211211211211211,2233.561042078368,0.5658478638344857,0.3693055306056784,0.2,32286.088357426146,0.5994233974768882,226435.89976707211
ITA,q3,0.1691691691691691,2189.0538507033757,0.4680346506257375,0.3970385209600502,0.2,45093.79282979353,0.900081546750932,302355.00456991745
ITA,q4,0.2292292292292292,2368.808038956946,0.4836336956434804,0.35044818709568815,0.2,61103.42342025279,1.0765192719971484,441357.15431668994
ITA,q5,0.4154154154154154,2342.898905303812,0.5720127744682899,0.3592860949781691,0.2,110733.27825067646,2.000096801221512,788956.6393733697
JOR,q1,0.0819999999999999,282.3051821339368,0.0311587810546151,0.2506571286735848,0.2,3838.6609818313304,0.48854310601940254,11757.304072517241
JOR,q2,0.121,320.2047253233106,0.0030155371509295,0.18487477027677468,0.2,5664.365595141359,0.5317065300591188,18872.22143626488
JOR,q3,0.158,353.7857847795038,0.0387778946918668,0.176395344239637,0.2,7396.444330845742,0.6624501176547297,24899.41809681269
JOR,q4,0.215,377.5048751213255,0.0283132829857013,0.18850920592690845,0.2,10064.781842606548,0.963340902331752,33383.769647294204
JOR,q5,0.424,405.1889959710523,0.098142756197973,0.23357379915591492,0.2,19848.686052396166,2.3539593439349966,62179.82813888679
JPN,q1,0.0789210789210789,2186.126756620761,0.5168410148253075,0.6426869489681553,0.2,18214.052175130033,0.5771095163672968,55108.2536315478
JPN,q2,0.1288711288711289,2222.8339420540133,0.5874796193207347,0.4601491066032728,0.2,29741.93329863007,0.6747143658444944,135957.8263696382
JPN,q3,0.1658341658341658,2194.860399069756,0.6513876395250483,0.4593740130903543,0.2,38272.56533002007,0.866774597737188,175204.67229705595
JPN,q4,0.2187812187812187,2285.7606027871375,0.7208094448564782,0.404732955697211,0.2,50492.11932093008,1.007498358245581,254505.18360933504
JPN,q5,0.4075924075924076,2287.4434782669646,0.7141678817371131,0.4040687993852745,0.2,94067.5099677602,1.8739031618054396,474675.6622845569
KAZ,q1,0.098,1054.0873198427887,0.1071710723853977,0.2665763526955398,0.2,17004.585115043596,0.49973142051045166,33823.83656531824
KAZ,q2,0.131,1149.5019871090117,0.2064420231642981,0.2492041456981995,0.2,22730.618878272562,0.6244756628633623,46284.44329902046
KAZ,q3,0.163,1094.1835736172754,0.1670728700183121,0.23528510704608707,0.2,28283.136466858225,0.7336197284784982,58658.24100359033
KAZ,q4,0.215,1155.2741682621704,0.1959069980184907,0.26261245502485075,0.2,37305.97754830993,1.0800472084858246,74606.40966088646
KAZ,q5,0.3929999999999999,1163.7366981438247,0.2786557156465492,0.27430497490080663,0.2,68191.85663481767,2.0621259796618636,134211.1442776421
KEN,q1,0.072,163.22001715842504,0.0740058896639231,0.08033456970645325,0.2,2045.8760984952403,0.35067204196175844,4638.642667393549
KEN,q2,0.11,206.94118504417835,0.1417744565197023,0.07426646549749272,0.2,3125.6440393677285,0.4952809391830614,7133.575161873299
KEN,q3,0.146,227.70494453297127,0.2108426130396833,0.07950663333125318,0.2,4148.582088615349,0.703756458770101,9414.604471835044
KEN,q4,0.206,219.80170496671207,0.2888084408097629,0.07978273677432002,0.2,5853.478837361382,0.9964197432128467,13279.635565347613
KEN,q5,0.466,222.03949345269967,0.3563325840509562,0.08685595604438323,0.2,13241.364748594196,2.4538708168722323,29809.436572406477
KOR,q1,0.075,1784.102790973414,0.2681632396972375,0.3965466007599594,0.2,18964.593744818547,0.39264346979191617,90832.93499768556
KOR,q2,0.124,2295.1363826041015,0.5513448817245967,0.3191407220751532,0.2,31354.794991433333,0.5224524770670931,169440.56503038722
KOR,q3,0.1689999999999999,2231.0540089473116,0.7024286511147096,0.406780347537812,0.2,42733.551238324435,0.907589685827226,201205.83940550062
KOR,q4,0.2319999999999999,2332.597539273967,0.6765845569319104,0.3747480445240632,0.2,58663.809983972016,1.147810634933372,291126.26558412204
KOR,q5,0.4,2368.116068646876,0.7722509558798484,0.38431468441885697,0.2,101144.4999723656,2.029503732380392,494261.8983306421
LAO,q1,0.07007007007007,206.25561474065543,0.0643480094803011,0.06441804190843525,0.2,2933.1877593197414,0.2473247777486878,10540.732063543046
LAO,q2,0.1081081081081081,233.1817315968974,0.1114914736169028,0.059201197087458635,0.2,4525.489685807605,0.3506842909355418,16353.526064180804
LAO,q3,0.1471471471471471,262.5031803677758,0.1618466389353052,0.0764066827938118,0.2,6159.694294571461,0.6160426037389524,21851.89034174683
LAO,q4,0.2102102102102102,288.6588062455009,0.1886867927847938,0.09300327571942635,0.2,8799.563277959232,1.071222307404305,30656.029769923458
LAO,q5,0.4644644644644644,323.3541528017743,0.3253630302830719,0.10667089946925423,0.2,19442.844576062304,2.7147260201725127,66714.51880656644
LBN,q1,0.0789210789210789,443.3309901467633,0.0074072135542218,0.2850679683546846,0.2,4527.998482417122,0.4569282172861937,24142.32547761324
LBN,q2,0.1268731268731268,463.584938854519,0.0092040756981328,0.21218568392191606,0.2,7279.18743375917,0.5467543744598334,42767.59642762299
LBN,q3,0.1698301698301698,447.4376539484829,0.0267387749619631,0.19449121391337176,0.2,9743.794202669758,0.670843745290304,58533.76464801526
LBN,q4,0.2257742257742258,489.56642266664727,0.0101578733598369,0.25807056834487097,0.2,12953.514645902153,1.1833668088115452,71673.447145172
LBN,q5,0.3986013986013986,510.4914425794311,0.075488311737149,0.2646036121826022,0.2,22869.258158030792,2.1421068541521233,125424.28727383862
LBR,q1,0.072072072072072,57.52270950812742,0.0850556722333291,0.06529723762650808,0.2,582.6752193034048,0.26305708344189704,2280.3110604824064
LBR,q2,0.1161161161161161,64.72477921885962,0.1054849119428609,0.07106143227860384,0.2,938.7545199888197,0.4612269133486258,3651.178410036353
LBR,q3,0.1601601601601602,64.540980144865,0.0947486657849482,0.07456558787012157,0.2,1294.8338206742344,0.6675458865142895,5017.110871272929
LBR,q4,0.2232232232232232,58.830622365810584,0.1880885005836763,0.08364124487262192,0.2,1804.6746375647137,1.043633584305331,6924.022457000005
LBR,q5,0.4284284284284285,60.18679647434317,0.1604696948326037,0.10708839899686473,0.2,3463.680470303577,2.564536532389856,12949.121495493187
LKA,q1,0.074,474.8304494318953,0.1825145408704772,0.13884409164396105,0.2,4820.9238570033895,0.33134013310122884,14146.37594744231
LKA,q2,0.111,504.13514017733246,0.3565874974616195,0.15194262991269603,0.2,7231.385785505084,0.5438980941456556,20896.805559558732
LKA,q3,0.15,539.4169993254804,0.3060006294919246,0.15270164790067686,0.2,9772.142953385248,0.7386690489142032,28213.652371520104
LKA,q4,0.208,578.3706576077498,0.3816021341503763,0.15686468546237253,0.2,13550.704895360877,1.052212452156786,38930.708286923895
LKA,q5,0.457,649.7059490848458,0.4688573452837104,0.1583607149457289,0.2,29772.462197980396,2.3338802716821263,85383.48737426582
LSO,q1,0.046,112.68236961796842,0.1253068562041472,0.46530582390363096,0.2,597.0407903140418,0.46067504181962815,1914.9092283360935
LSO,q2,0.089,112.03024364366966,0.130362602492427,0.30493937854176534,0.2,1155.1441377815156,0.5841197376264562,4816.123307038109
LSO,q3,0.142,136.61313546369271,0.190434009313246,0.26641167166547564,0.2,1843.0389614042158,0.8142166066631753,8110.0898175671655
LSO,q4,0.226,138.31651713113305,0.1191326920752129,0.21657125696294655,0.2,2933.2873611081186,1.0534347009074747,13784.558062165572
LSO,q5,0.497,143.33785040500774,0.2584865522552773,0.1951564671746736,0.2,6450.636364914757,2.087553912983265,31142.448439606615
LTU,q1,0.07,1681.20693778118,0.3016400385358569,0.7903038550809841,0.2,16359.143218194455,0.8673211567626773,19382.296530401833
LTU,q2,0.1169999999999999,1807.9823324452095,0.4389342981997481,0.4965709093324273,0.2,27343.13937898213,0.9108669310123059,77775.16059662575
LTU,q3,0.156,1785.0743098517935,0.4910062837497972,0.39683250712405327,0.2,36457.51917197621,0.9705538553757064,124245.10090158925
LTU,q4,0.216,2029.3254282366297,0.557345050792442,0.2968961306509861,0.2,50479.641930428596,1.0054166863418241,200534.9094597421
LTU,q5,0.441,2077.4610982573017,0.551716357493661,0.18019235403508393,0.2,103062.60227462507,1.2458413705074862,477383.38660518243
LUX,q1,0.072072072072072,2787.038180459996,0.4872219115924078,0.48817515667152755,0.2,47872.63918396212,0.4201479585772243,177677.61509846305
LUX,q2,0.1231231231231231,3207.7487731295028,0.5757020179544595,0.37563065860589206,0.2,81782.425272602,0.5522811622746318,370275.97881604306
LUX,q3,0.1731731731731731,3164.5381618917254,0.7409079679666362,0.4749085306210892,0.2,115027.31359479793,0.9820874490419286,437985.69222661847
LUX,q4,0.2312312312312312,3199.912424099424,0.6046122361068099,0.399729686132248,0.2,153591.38404854527,1.103754454841608,668555.8657007617
LUX,q5,0.4004004004004004,3234.636674521369,0.6683298085140812,0.40610144337297516,0.2,265959.10657756764,1.941728975264607,1145384.0174619236
LVA,q1,0.071,1474.4270384921438,0.2815959021720696,0.6092239715664678,0.2,13137.615770361606,0.6722746574373685,56340.99389184289
LVA,q2,0.121,1536.813954711722,0.3628145965113849,0.47193383719380244,0.2,22389.45786216556,0.8875194821458353,129751.36957147051
LVA,q3,0.166,1737.0871420836747,0.4027550948582002,0.40917241265002535,0.2,30716.115744789113,1.0556643140388506,199162.2821300696
LVA,q4,0.2269999999999999,1723.9987492675018,0.5072274098370333,0.3143099424740883,0.2,42003.36309678991,1.1089076618985636,316076.3124668524
LVA,q5,0.415,1669.5832119170186,0.588519910957105,0.19777279092578803,0.2,76790.28936197277,1.275633884479382,676057.6400244124
MAR,q1,0.067,330.52076977000013,0.0407593551401853,0.15836952210748523,0.2,2971.0184912109376,0.3004693090706674,15122.818189872565
MAR,q2,0.107,330.729209022495,0.0424275882846399,0.12145752600686477,0.2,4744.760874023436,0.36801194706679785,25210.590291281707
MAR,q3,0.147,354.64971551751313,0.0262963618241949,0.12196572677014594,0.2,6518.503256835937,0.5077019742156386,34615.075036715134
MAR,q4,0.209,323.64945189655367,0.0497213619331853,0.18791267098220255,0.2,9267.803950195312,1.1121312933323342,45518.24347329795
MAR,q5,0.47,377.7264290873124,0.2080483486907411,0.2037453696579581,0.2,20841.472998046873,2.711685476314562,100365.92762927205
MDA,q1,0.1009999999999999,586.5875557045267,0.0266885050767195,0.6310644707426633,0.2,8006.913239803012,0.661974096764303,13975.601375644961
MDA,q2,0.142,660.0403172846421,0.0529196154200528,0.5899984856747884,0.2,11257.24435695078,0.8701319856312948,21835.96831716829
MDA,q3,0.176,678.217995092197,0.0904177544868274,0.519701064808406,0.2,13952.640893122094,0.9499749785321486,31704.648450375465
MDA,q4,0.221,752.8257027293139,0.0532535387472136,0.47607999758589314,0.2,17520.07748511354,1.0927431702897654,43426.607497877834
MDA,q5,0.36,740.7277680018148,0.1785410994340085,0.3811711627239409,0.2,28539.492735931555,1.4251757687824875,83554.8559133238
MEX,q1,0.0559999999999999,965.4863169921072,0.0609429743411054,0.22122115172854007,0.2,6199.930038813828,0.36236528602032214,25225.855585263416
MEX,q2,0.098,951.3932776547458,0.0370839503600293,0.16307600467120253,0.2,10849.877567924219,0.4674638685066985,47441.217497771635
MEX,q3,0.141,1031.8653488279858,0.1188198505171631,0.14998829176407624,0.2,15610.538133441985,0.6185978152757418,69324.66044647516
MEX,q4,0.207,1040.1528824616491,0.1463571692403766,0.15178751606424734,0.2,22917.598536329726,0.919048244284005,101559.0748783126
MEX,q5,0.498,1089.8892432017767,0.2226256879873979,0.18072207976154853,0.2,55135.09213088021,2.6325247859132324,235995.82721968243
MKD,q1,0.058058058058058,777.5823674378206,0.0392698946891579,0.4038892275205348,0.2,6846.370188612622,0.45341737276554467,20899.51110963918
MKD,q2,0.1231231231231231,973.1376443412156,0.0814188591433212,0.3503843432412821,0.2,14519.026434471607,0.8341760100202988,48299.51371955226
MKD,q3,0.1801801801801801,884.9611966320547,0.112472775756053,0.2519703783026598,0.2,21247.355757763322,0.87786934911189,81390.2653764607
MKD,q4,0.2482482482482482,969.3540267293336,0.1721318540352918,0.21948398594690932,0.2,29274.13459958503,1.0535676138918488,117007.7591595647
MKD,q5,0.3903903903903904,985.472224878301,0.3365966238989678,0.2359304629332769,0.2,46035.93747515389,1.7809696542104176,180126.93338905287
MLI,q1,0.076,51.037578636249144,0.0417926978138122,0.13822956301343203,0.2,909.9754223083111,0.5840660530428277,1267.544251293981
MLI,q2,0.115,81.60764274066472,0.0969681837350069,0.08993242371595367,0.2,1376.9364942823129,0.5749917003771261,2025.486850831271
MLI,q3,0.154,90.29820462215145,0.0483404125746646,0.08937658857284947,0.2,1843.8975662563146,0.7652299026460089,2714.047713946762
MLI,q4,0.216,84.85635541869485,0.1135340159608998,0.07706261790585056,0.2,2586.2459370867787,0.9254329259829956,3858.1928690954937
MLI,q5,0.439,93.43516228679864,0.2591831725434714,0.08810142643839292,0.2,5256.305399912481,2.150279417951042,7747.63232952298
MMR,q1,0.089,174.80433074732042,0.0367874110582003,0.04490471813988173,0.2,2387.0413968031107,0.21584700682891705,7346.693109715468
MMR,q2,0.13,199.60544158731216,0.0624405118400535,0.0435214765475983,0.2,3486.6896807236453,0.3055702171054601,10746.666397653757
