iso3,hazard,rp,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma,dk,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
ROU,Storm surge,100.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Storm surge,250.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Storm surge,500.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Storm surge,1000.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Storm surge,2500.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Storm surge,5000.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Tsunami,10.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Tsunami,25.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Tsunami,50.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Tsunami,100.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Tsunami,250.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Tsunami,500.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Tsunami,1000.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Tsunami,2500.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Tsunami,5000.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Wind,10.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
ROU,Wind,25.0,32495.9091605714,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.4483897853104043,0.06,0.05,0.8,1.5,3.0,1.2438592898440408,0.0,0.0,0.0,0.2,1123.816858469761,0.0,0.0,
