iso3,income_cat,axfin,social,n,c,gamma_SP,k
ETH,poor,0.133,0.07362465224409821,0.2,856.4002131146368,0.27915180642896964,1813.667545655122
ETH,nonpoor,0.2883,0.09804963359878,0.8,2762.3571771025036,1.1802120483927574,5703.270167084944
FJI,poor,0.6,0.31714045566039833,0.2,5212.1194707498535,0.45182679482278665,10933.001083487308
FJI,nonpoor,0.6,0.2927524046848273,0.8,14182.105793417035,1.1370433012943033,30783.955019769906
FIN,poor,0.4724,0.66617229,0.2,23495.980069140838,0.6365031844908173,78168.29870629375
FIN,nonpoor,0.7189,0.4793973980000001,0.8,55899.47922941028,1.0908742038772956,289451.9130998967
FRA,poor,0.4968999999999999,0.5957714199999999,0.2,18440.880454044534,0.4791573449651831,84467.45136067133
FRA,nonpoor,0.5637,0.4887908499999999,0.8,52770.2940080536,1.1302106637587042,303651.69719892065
GAB,poor,0.0794,0.08034669235813531,0.2,4160.5529042249755,0.3108994539914414,15187.998906022287
GAB,nonpoor,0.135,0.0773501188731005,0.8,16384.59528930138,1.1722751365021395,60035.05998666745
GMB,poor,0.1373,0.09986391097719852,0.2,694.0055793627157,0.25974569278268295,1413.4823592813832
GMB,nonpoor,0.1859,0.12878311232569892,0.8,2468.517160566984,1.1850635768043294,4869.075884071861
GEO,poor,0.0375,0.8972332865386811,0.2,5989.677695972844,0.8195644834023157,3900.085254969699
GEO,nonpoor,0.1047,0.3444759193183032,0.8,19850.50677809454,1.045108879149421,80993.77274398823
DEU,poor,0.5658,0.7569477400000001,0.2,21843.085979794203,0.5763519164417548,54394.41315773743
DEU,nonpoor,0.5751,0.49834050300000005,0.8,62001.260441132705,1.1059120208895612,295856.9294628008
GHA,poor,0.0925,0.4302934061192903,0.2,1271.9217706719419,0.3618280416651442,2480.445204234525
GHA,nonpoor,0.289,0.2720284158893582,0.8,6532.432036600915,1.159542989583714,16437.69374280151
GRC,poor,0.1547,0.41553208999999997,0.2,10351.460317685935,0.2511936387641319,106806.50760315581
GRC,nonpoor,0.3379999999999999,0.5641226679999999,0.8,37042.66693299502,1.1872015903089668,291097.08657427796
GTM,poor,0.0669,0.25007434523342,0.2,2051.941282916914,0.3201281466806374,5731.295342786364
GTM,nonpoor,0.1278,0.17226156296931683,0.8,10939.580663659057,1.1699679633298408,33779.68355628548
GIN,poor,0.0231,0.0659311064056941,0.2,1142.5223127286476,0.34740290566521864,2178.8477472731433
GIN,nonpoor,0.0662,0.08202574697624321,0.8,3088.280490266451,1.1631492735836955,5789.867626670067
GNB,poor,0.0002,0.07062761219633794,0.2,723.4933676537108,0.3073830221296973,1208.4350755233295
GNB,nonpoor,0.0002,0.09121650682339114,0.8,2138.0166240008725,1.1731542444675755,3491.9701777652194
HTI,poor,0.0779,0.015579999999999998,0.2,763.5825060450942,0.0452843333111555,7260.708988586936
HTI,nonpoor,0.1506,0.09921311671882939,0.8,3307.995075171088,1.2386789166722112,28787.730622643274
HND,poor,0.052,0.13747465315942886,0.2,1019.0957756913328,0.1897733594272711,4161.080901848725
HND,nonpoor,0.1408,0.1301302886402534,0.8,6881.631316198589,1.202556660143182,28376.967064322907
HUN,poor,0.1755999999999999,0.9474529999999999,0.2,14472.673549578964,0.6033158871904648,11883.325588019608
HUN,nonpoor,0.4143,0.6085659999999999,0.8,40577.80137904626,1.0991710282023837,208112.69949878132
IND,poor,0.0722,0.2158703140104942,0.2,2859.867111579845,0.5821574777310577,9823.61068499521
IND,nonpoor,0.1643,0.144388359298832,0.8,8175.082467037349,1.1044606305672355,30705.094120857037
IDN,poor,0.1084,0.25329020821031845,0.2,4480.605652731316,0.531473956238931,22909.23757356189
IDN,nonpoor,0.2536,0.1677041588674764,0.8,14392.047155507167,1.1171315109402673,82339.7198936069
IRN,poor,0.1926999999999999,0.1114068126165128,0.2,4610.644285887348,0.43467969054174244,26498.868056987358
IRN,nonpoor,0.2685,0.07468563027135271,0.8,18173.688101926906,1.1413300773645643,108851.7596937274
IRQ,poor,0.0045,0.1304524577927307,0.2,4039.309144744365,0.48220138714592253,9785.02436380355
IRQ,nonpoor,0.0273,0.11793385964958801,0.8,10488.948580927941,1.1294496532135194,25783.34619599592
ITA,poor,0.4597,0.5243037500000001,0.2,13905.982586353053,0.32009771018866134,94919.52722362176
ITA,nonpoor,0.5079,0.515392555,0.8,51888.74333385711,1.1699755724528347,362224.7910490003
JAM,poor,0.1162,0.23554953375544718,0.2,2626.271964424693,0.24617927477256502,15379.385722638002
JAM,nonpoor,0.3231,0.254565444762462,0.8,11978.262996763451,1.1884551813068587,68847.61980207084
JPN,poor,0.5523,0.6872321449204296,0.2,16355.868625807941,0.7577601302866329,38932.29038319877
JPN,nonpoor,0.6955,0.3209637308477299,0.8,47962.48909994801,1.0605599674283417,237332.6606729276
JOR,poor,0.0171,0.2509612505681233,0.2,3878.535147189549,0.47492425802023586,11956.965091417496
JOR,nonpoor,0.0552,0.21358922556096221,0.8,10893.699608046827,1.131268935494941,35300.62554270462
KAZ,poor,0.1568,0.28721924545700006,0.2,12723.981841264773,0.5004227022660511,25226.870620474365
KAZ,nonpoor,0.2138,0.2805871567327403,0.8,29435.622770913054,1.1248943244334872,59030.22914262413
KEN,poor,0.1081,0.0945539807400609,0.2,1728.5593060733936,0.31326141741016866,3965.0563387704037
KEN,nonpoor,0.2854,0.10975597171173139,0.8,5669.7748350896145,1.171684645647458,12811.543256674853
KOR,poor,0.4099,0.5200443000568937,0.2,16965.93007005425,0.6185708634982167,58194.34665134119
KOR,nonpoor,0.7173999999999999,0.2986662875622895,0.8,52708.673781145844,1.0953572841254458,266274.58896730974
KGZ,poor,0.046,0.38713788402806293,0.2,2379.1684618696595,0.6168507870817056,4256.15427955866
KGZ,nonpoor,0.0741,0.28541149475882066,0.8,5742.895679440722,1.0957873032295735,11991.781216969659
LAO,poor,0.0881,0.20418960831578586,0.2,2734.330692272825,0.20451914436880933,11623.294652571856
LAO,nonpoor,0.2254,0.360368582878665,0.8,9250.990823583517,1.1988702139077976,31771.195732569606
LBN,poor,0.0083,0.114471130327092,0.2,5116.300894593918,0.445231560253393,28339.469380458246
LBN,nonpoor,0.0375999999999999,0.10044857806284944,0.8,14954.565817005268,1.1386921099366516,84176.75285695595
LSO,poor,0.1278,0.47833513828321633,0.2,515.2112830354254,0.44670489804523084,1641.8828233990107
LSO,nonpoor,0.1894,0.23509685843773476,0.8,2671.6212430179676,1.1383237754886923,12485.299590458246
MDG,poor,0.009,0.0018,0.2,426.2804071669565,0.006591506269632962,1021.7450805348934
MDG,nonpoor,0.0526,0.08242293859295999,0.8,1771.532625214936,1.2483521234325916,3903.331799729972
MWI,poor,0.0418,0.09198742778173521,0.2,503.94672007433684,0.26301825493146663,535.8534572669266
MWI,nonpoor,0.0844999999999999,0.1227845446085825,0.8,1707.612591627466,1.1842454362671333,1754.9704577095351
MYS,poor,0.3386,0.2634595316252051,0.2,7965.596724731977,0.37049376012181934,29328.99684196216
MYS,nonpoor,0.5558,0.1989898177119236,0.8,33488.124126637624,1.157376559969545,134874.7363819092
MLI,poor,0.0695,0.14795029323205083,0.2,795.1361044771771,0.5527019675775241,1106.6924128305902
MLI,nonpoor,0.1402999999999999,0.0965251720983279,0.8,2466.9951175066676,1.1118245081056188,3644.7081102627903
MHL,poor,0.05,0.9463467641244214,0.2,2171.3805058317444,0.9330229167352462,867.293976420676
MHL,nonpoor,0.05,0.3200473502934214,0.8,6962.583334373264,1.0167442708161885,32635.509083018824
MRT,poor,0.078,0.0848707583890405,0.2,1993.203484444883,0.29734963101274864,9250.254515172208
MRT,nonpoor,0.106,0.10883107045411193,0.8,6164.467257476666,1.1756625922468127,27867.69326719169
MUS,poor,0.2322,0.353678454373565,0.2,8171.6246403645855,0.41606557435696706,23587.5332740066
MUS,nonpoor,0.3261,0.30232198966704193,0.8,26508.782022917716,1.145983606410758,82900.02362559919
MEX,poor,0.049,0.2249268542944294,0.2,5013.857408441887,0.3031898088578102,20605.516718290193
MEX,nonpoor,0.1626,0.18339019783149815,0.8,24065.012078651398,1.1742025477855473,104514.02776410077
FSM,poor,0.197,0.5304605989481804,0.2,904.7318700279515,0.7578744521737086,2135.917452225157
FSM,nonpoor,0.197,0.172810554020231,0.8,3853.398521903574,1.0605313869565727,15881.769436124123
MDA,poor,0.0398,0.6363556202349913,0.2,6699.733967586292,0.6566662393911816,11641.716442470733
MDA,nonpoor,0.1075,0.47286816948250476,0.8,14960.5881763863,1.0858334401522045,37903.37768377849
MNG,poor,0.1802,0.40615074611350577,0.2,4719.993211383045,0.5152534406235626,17637.129227421814
MNG,nonpoor,0.3469,0.30322968959832564,0.8,13911.558518356243,1.1211866398441095,61451.51296047067
MAR,poor,0.0416,0.2746401333900118,0.2,2698.1565457221577,0.6005908734427947,11494.007932870061
MAR,nonpoor,0.0947,0.14446837350971511,0.8,9429.667406538212,1.0998522816393013,47445.8403370336
MOZ,poor,0.0598,0.10801684636160108,0.2,273.05730474385456,0.22064175226035262,827.6775129111459
MOZ,nonpoor,0.1414,0.10768821174298278,0.8,1495.201190996061,1.194839561934912,4538.293447651526
MMR,poor,0.0496,0.4295543854252372,0.2,1883.569027643409,0.6415623021885173,4461.641950995233
MMR,nonpoor,0.1175,0.2850898739941561,0.8,4841.452932370237,1.0896094244528707,14418.50819385119
