country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Montenegro,22081.2952131425,616159.0,0.053,0.68164,9893.51590693197,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3178534786705985,1.0,0.3134028207120208
Morocco,8061.51806640625,37457971.0,0.067,0.6459600000000001,3527.94189453125,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7666666666666666,0.20080164161649414,1.0,0.13496142142169495
Mozambique,1243.07363779512,32969518.0,0.044,0.38187,541.454425499229,4,0.2,1.5,0.06,0.8,0.05,0.8,0.5166666666666667,0.3294826964673195,1.0,0.08014075299455813
Myanmar,4124.48565135618,54179306.0,0.089,0.31771,1095.70178954585,4,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.25,0.34198358432077974,1.0,0.27565582770699115
Namibia,9490.26076435304,2567012.0,0.0279999999999999,0.53956,4911.32763537761,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5833333333333333,0.312294397553134,1.0,0.06684000104321745
Nepal,4001.69995491459,30547580.0,0.083,0.21451,1336.54604726414,4,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.31064782597856616,1.0,0.28421980153503623
Netherlands,58584.6237903865,17703090.0,0.092,0.92886,55985.4034255707,4,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.2157709406280088,1.0,0.34127209585999996
Nicaragua,5822.36911103879,6948392.0,0.051,0.59556,2255.42598603695,4,0.2,1.5,0.06,0.8,0.05,0.6,0.5,0.26510141584931673,1.0,0.13128805372230357
Niger,1274.80994054532,26207977.0,0.076,0.1689399999999999,533.028763819513,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23278847187557952,1.0,0.048337228520167204
Nigeria,4963.16031287959,218541212.0,0.071,0.53521,2184.42149316828,4,0.2,1.5,0.06,0.8,0.05,0.8,0.575,0.33211773435943276,1.0,0.06050744725469314
Norway,67462.3764458619,5457127.0,0.088,0.83664,106148.778627718,4,0.2,1.5,0.06,0.8,0.05,0.8,1.0,0.23773524714427238,1.0,0.314512297136
Pakistan,5451.71824050408,235824862.0,0.096,0.37731,1596.66266149236,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5583333333333333,0.6522309077626153,1.0,0.16788036861323924
Panama,33266.4768548785,4408581.0,0.037,0.6914100000000001,17357.6286293985,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1.0,0.24867076843824124,1.0,0.13847224717933032
Papua New Guinea,3765.89957298991,10142619.0,0.051,0.13582,3020.26964580164,4,0.2,1.5,0.06,0.8,0.05,0.4,0.4,0.32518120719724364,1.0,0.001538620633346184
Paraguay,13531.3966633509,6780744.0,0.05,0.62818,6153.05567679103,4,0.2,1.5,0.06,0.8,0.05,0.8,0.65,0.32039027475084436,1.0,0.17488664077363517
Peru,12743.9423914767,34049588.0,0.0579999999999999,0.78708,7125.8292350929,4,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.2774178440794039,1.0,0.1250281383808332
Philippines,8581.93769302209,115559009.0,0.065,0.47977,3498.50981598253,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1.0,0.3459349526152716,1.0,0.16428974981426164
Poland,36798.1917129585,37561599.0,0.086,0.60134,18321.2808899533,4,0.2,1.5,0.06,0.8,0.05,0.6,0.7666666666666666,0.42158623054222205,1.0,0.497369566
Portugal,35746.3914743043,10379007.0,0.069,0.67381,24274.5165823077,4,0.2,1.5,0.06,0.8,0.05,0.8,0.6916666666666667,0.1251835191172326,1.0,0.46250629383999986
Romania,32738.1861320729,18956666.0,0.0559999999999999,0.54489,15892.1185256988,4,0.2,1.5,0.06,0.8,0.05,0.6,0.6916666666666667,0.3181439389878922,1.0,0.418299712
Russian Federation,27584.171875,143555736.0,0.075,0.75126,15345.0966796875,4,0.2,1.5,0.06,0.8,0.05,0.0,0.26666666666666666,0.2324524602368638,1.0,0.20213680331176676
Rwanda,2364.93882579321,13776698.0,0.06,0.17721,966.327110112571,4,0.2,1.5,0.06,0.8,0.05,0.8,0.49166666666666664,0.585174807157438,1.0,0.05942022735700614
Senegal,3564.62813675874,17316449.0,0.071,0.4908599999999999,1598.73599053078,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5208333333333333,0.3456410886964015,1.0,0.2101174658429111
Serbia,20496.8186903986,6760087.0,0.066,0.56873,9393.62890629911,4,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.2280092387089795,1.0,0.31602350017703495
Seychelles,29834.9051419146,100060.0,0.07,0.58396,15874.5400675106,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1.0,0.17926447233337167,1.0,0.15025677022680725
Sierra Leone,1635.44647578445,8605718.0,0.079,0.43831,461.361138294258,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.3333333333333333,0.944750855404646,1.0,0.040345426452004035
Slovak Republic,33172.2257962936,5431752.0,0.095,0.53909,21258.1141354655,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6416666666666666,0.21839330687198988,1.0,0.39335334379
Slovenia,42175.2032060924,2108732.0,0.103,0.55751,29457.40284439,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.775,0.15744270973287583,1.0,0.36564025225
Solomon Islands,2247.78488218831,724273.0,0.07,0.25584,2203.18965958102,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.375,0.29688600054156516,1.0,0.0664607747824224
South Africa,13470.026543326,59893885.0,0.024,0.6833499999999999,6776.48007742932,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6666666666666667,0.2609504893395919,1.0,0.16813903151316012
Spain,39834.0852693646,47615034.0,0.06,0.81304,29350.1685214481,4,0.2,1.5,0.06,0.8,0.05,0.8,0.7583333333333333,0.16670477850299206,1.0,0.43423242051999994
Sri Lanka,12200.1373954225,22181000.0,0.074,0.1902599999999999,3354.38340757565,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.34732239754243355,1.0,0.11009278846944426
St. Lucia,15037.7618728299,179857.0,0.031,0.1905,11481.496719925,4,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.3333333333333333,0.23796442368118045,1.0,0.12121809931952789
St. Vincent and the Grenadines,14572.6555189365,103948.0,0.203,0.53875,9125.31749650188,4,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.14532744985440793,1.0,0.16448424303576856
