iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma
MRT,5330.214502870309,4736139.0,0.56923,0.6666666666666667,0.3333333333333333,0.22076578577680425,0.0973578690308322,0.06,0.05,0.8,1.5,3.0,1.1518696526614536
MUS,22841.35054640709,1262523.0,0.4081,0.7333333333333333,0.7416666666666667,0.32153921983997297,0.27815368373263133,0.06,0.05,0.8,1.5,3.0,1.2470666894857123
MWI,1466.8794173168403,20405317.0,0.1798,0.8,0.3333333333333333,0.9707059348850776,0.11147329638358644,0.06,0.05,0.8,1.5,3.0,1.8603111249040194
MYS,28383.618646256495,33938221.0,0.78214,0.8,0.7666666666666666,0.24949212698674084,0.15322399622846106,0.06,0.05,0.8,1.5,3.0,1.1790063934841823
NAM,9762.776892385069,2567012.0,0.53956,0.7333333333333333,0.5833333333333333,0.312294397553134,0.1210603560359769,0.06,0.05,0.8,1.5,3.0,1.2383334385465583
NER,1274.6417414679997,26207977.0,0.1689399999999999,0.6666666666666667,0.3333333333333333,0.23278847187557952,0.052466495537785936,0.06,0.05,0.8,1.5,3.0,1.1632270515822265
NGA,4963.160312959289,218541212.0,0.53521,0.8,0.575,0.33211773435943276,0.08209730808525753,0.06,0.05,0.8,1.5,3.0,1.257059831484066
NIC,5822.353524705861,6948392.0,0.59556,0.6,0.5,0.26510141584931673,0.15225601303932546,0.06,0.05,0.8,1.5,3.0,1.1937519269719037
NLD,59249.16700396988,17700982.0,0.92886,0.8,0.9166666666666667,0.2157709406280088,0.4122761762816457,0.06,0.05,0.8,1.5,3.0,1.1471512021890473
NOR,67460.27827846087,5457127.0,0.83664,0.8,1.0,0.23773524714427238,0.3980999844448038,0.06,0.05,0.8,1.5,3.0,1.167900092168696
NPL,4001.69995474296,30547580.0,0.21451,0.6,0.3333333333333333,0.31064782597856616,0.3053614946613031,0.06,0.05,0.8,1.5,3.0,1.2367779816319944
PAK,5376.96685550493,235824862.0,0.37731,0.7333333333333333,0.5583333333333333,0.6522309077626153,0.16331691342241056,0.06,0.05,0.8,1.5,3.0,1.559459227115368
PAN,33266.4768445342,4408581.0,0.6914100000000001,0.6666666666666667,1.0,0.24867076843824124,0.16498048998975656,0.06,0.05,0.8,1.5,3.0,1.1782304856200283
PER,12743.9423914767,34049588.0,0.78708,0.6,1.0,0.2774178440794039,0.13922899790479434,0.06,0.05,0.8,1.5,3.0,1.205386813513807
PHL,8581.93769298126,115559009.0,0.47977,0.7333333333333333,1.0,0.3459349526152716,0.36342277809657764,0.06,0.05,0.8,1.5,3.0,1.2701124603573204
PNG,3752.9449512175006,10142619.0,0.13582,0.4,0.4,0.32518120719724364,0.015856847045336644,0.06,0.05,0.8,1.5,3.0,1.2505071438850954
POL,37706.606128398096,36821749.0,0.60134,0.6,0.7666666666666666,0.42158623054222205,0.3977643288747975,0.06,0.05,0.8,1.5,3.0,1.341577500301278
PRT,35767.722575285385,10409704.0,0.67381,0.8,0.6916666666666667,0.1251835191172326,0.5119080737184692,0.06,0.05,0.8,1.5,3.0,1.0615765248790496
PRY,13531.396663349,6780744.0,0.62818,0.8,0.65,0.32039027475084436,0.11175821435931228,0.06,0.05,0.8,1.5,3.0,1.245981322404838
PSE,5722.40917459721,5043612.0,0.77291,0.4666666666666667,0.16666666666666666,0.28621480308801545,0.051741067951634453,0.06,0.05,0.8,1.5,3.0,1.213696984130394
ROU,32495.909160571402,19047009.0,0.54489,0.6,0.6916666666666667,0.3181439389878922,0.44838978531040435,0.06,0.05,0.8,1.5,3.0,1.2438592898440408
RWA,2364.8019699513807,13776698.0,0.17721,0.8,0.49166666666666664,0.585174807157438,0.08853394670627733,0.06,0.05,0.8,1.5,3.0,1.4961137418895614
SDN,3570.607421874999,46874204.0,0.35956,0.6666666666666667,0.3333333333333333,0.6196936360546678,0.06950702308584493,0.06,0.05,0.8,1.5,3.0,1.528722437387623
SEN,3564.6281367603196,17316449.0,0.4908599999999999,0.6666666666666667,0.5208333333333333,0.3456410886964015,0.14326657011841715,0.06,0.05,0.8,1.5,3.0,1.2698348576878662
SLB,2247.7848821883094,724273.0,0.25584,0.5333333333333333,0.375,0.29688600054156516,0.09554263774981231,0.06,0.05,0.8,1.5,3.0,1.2237776803613838
SLE,1634.76383028533,8605718.0,0.43831,0.7333333333333333,0.3333333333333333,0.944750855404646,0.039823842752410306,0.06,0.05,0.8,1.5,3.0,1.835792295313213
SLV,9396.01377999827,6336392.0,0.74767,0.6666666666666667,0.44999999999999996,0.30212378059748374,0.3541452756014177,0.06,0.05,0.8,1.5,3.0,1.228725622698529
SRB,20885.8886079244,6664449.0,0.56873,0.6,1.0,0.2280092387089795,0.36062287214411337,0.06,0.05,0.8,1.5,3.0,1.1587122819905964
SVK,33176.1845690068,5431752.0,0.53909,0.7333333333333333,0.6416666666666666,0.21839330687198988,0.3449922278949884,0.06,0.05,0.8,1.5,3.0,1.1496284572138038
SVN,41015.2252312307,2111986.0,0.55751,0.8666666666666666,0.775,0.15744270973287583,0.4107663183328598,0.06,0.05,0.8,1.5,3.0,1.0920506214056516
SWE,55316.33861707689,10486941.0,0.88492,0.7333333333333333,0.9166666666666667,0.22170190067143244,0.440520210545522,0.06,0.05,0.8,1.5,3.0,1.1527539667162847
SWZ,9058.58317666301,1201670.0,0.24576,0.6,0.5666666666666667,0.31404057961183984,0.20829059007857817,0.06,0.05,0.8,1.5,3.0,1.2399829939010012
SYC,25205.7362861768,119878.0,0.58396,0.6666666666666667,1.0,0.17926447233337167,0.2442704326514561,0.06,0.05,0.8,1.5,3.0,1.1126648552775218
