country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Poland,36798.1917129585,37561599.0,0.086,0.60134,18321.2808899533,1,0.2,1.5,0.06,0.8,0.05,1,1,0.41320263199936846,1.0,0.497369566
Portugal,35746.3914743043,10379007.0,0.069,0.67381,24274.5165823077,1,0.2,1.5,0.06,0.8,0.05,1,1,0.19024226740462855,1.0,0.46250629383999986
Romania,32738.1861320729,18956666.0,0.0559999999999999,0.54489,15892.1185256988,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2677480378213938,1.0,0.418299712
Russian Federation,27584.171875,143555736.0,0.075,0.75126,15345.0966796875,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3491630039272151,1.0,0.20213680331176676
Rwanda,2364.93882579321,13776698.0,0.06,0.17721,966.327110112571,1,0.2,1.5,0.06,0.8,0.05,1,1,0.712577817249879,1.0,0.05942022735700614
Senegal,3564.62813675874,17316449.0,0.071,0.4908599999999999,1598.73599053078,1,0.2,1.5,0.06,0.8,0.05,1,1,0.22621011201636318,1.0,0.2101174658429111
Serbia,20496.8186903986,6760087.0,0.066,0.56873,9393.62890629911,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2201204533701086,1.0,0.31602350017703495
Seychelles,29834.9051419146,100060.0,0.07,0.58396,15874.5400675106,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2185476986724669,1.0,0.15025677022680725
Sierra Leone,1635.44647578445,8605718.0,0.079,0.43831,461.361138294258,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4068659912801502,1.0,0.040345426452004035
Slovak Republic,33172.2257962936,5431752.0,0.095,0.53909,21258.1141354655,1,0.2,1.5,0.06,0.8,0.05,1,1,0.30590188604179597,1.0,0.39335334379
Slovenia,42175.2032060924,2108732.0,0.103,0.55751,29457.40284439,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2213378830398852,1.0,0.36564025225
Solomon Islands,2247.78488218831,724273.0,0.07,0.25584,2203.18965958102,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2968860005415651,1.0,0.0664607747824224
South Africa,13470.026543326,59893885.0,0.024,0.6833499999999999,6776.48007742932,1,0.2,1.5,0.06,0.8,0.05,1,1,0.41221819094326817,1.0,0.16813903151316012
Spain,39834.0852693646,47615034.0,0.06,0.81304,29350.1685214481,1,0.2,1.5,0.06,0.8,0.05,1,1,0.18299929671374224,1.0,0.43423242051999994
Sri Lanka,12200.1373954225,22181000.0,0.074,0.1902599999999999,3354.38340757565,1,0.2,1.5,0.06,0.8,0.05,1,1,0.33796080258900235,1.0,0.11009278846944426
St. Lucia,15037.7618728299,179857.0,0.031,0.1905,11481.496719925,1,0.2,1.5,0.06,0.8,0.05,1,1,0.8917745033119631,1.0,0.12121809931952789
St. Vincent and the Grenadines,14572.6555189365,103948.0,0.203,0.53875,9125.31749650188,1,0.2,1.5,0.06,0.8,0.05,1,1,0.6344556359052773,1.0,0.16448424303576856
Sudan,3570.607421875,46874204.0,0.078,0.35956,1102.146484375,1,0.2,1.5,0.06,0.8,0.05,1,1,0.9487533644538989,1.0,0.05910373339203133
Sweden,54818.3965473561,10486941.0,0.0819999999999999,0.88492,55873.2208108977,1,0.2,1.5,0.06,0.8,0.05,1,1,0.357367643802592,1.0,0.35678861013
Switzerland,70999.6879113108,8769741.0,0.075,0.74092,92101.4697414382,1,0.2,1.5,0.06,0.8,0.05,1,1,0.28308540003621385,1.0,0.31814118077500003
