country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Jordan,nonpoor,0.8,10693.198792491035,0.0552,1.1269726800879354,34673.57758659946,0.006521683723417731,0.6000000000000001
Jordan,poor,0.2,3820.6636208464647,0.0171,0.4921092796482585,11689.841577691483,0.006549799454541795,0.6000000000000001
Kazakhstan,nonpoor,0.8,29420.18964575728,0.2138,1.1192265949731923,59028.73650424652,0.02508358232958911,0.8
Kazakhstan,poor,0.2,12785.714347158375,0.1568,0.5230936201072315,25232.841184542598,0.0272879612560419,0.8
Kenya,nonpoor,0.8,5662.576805972189,0.2854,1.1287454926325908,12828.757401958686,0.005205179255997577,0.4
Kenya,poor,0.2,1757.351422543093,0.1081,0.4850180294696363,3896.199757635071,0.008522003916715655,0.4
Kiribati,nonpoor,0.8,2265.5749838770416,0.0,1.1274128480122105,7981.407385692162,0.0014654250203359057,0.0
Kiribati,poor,0.2,951.2911534511335,0.0,0.49034860795115737,3339.7548782481276,0.0014654250203359057,0.0
"Korea, Rep.",nonpoor,0.8,52571.660607374855,0.7173999999999999,1.0171880370629576,265910.48704227695,0.03210337952980486,1.0
"Korea, Rep.",poor,0.2,17050.268305094545,0.4099,0.931247851748169,57364.162431124474,0.035438387229147154,1.0
Kyrgyz Republic,nonpoor,0.8,5881.874160086071,0.0741,1.0696863588075796,12368.98443969554,0.06667653564512722,0.8
Kyrgyz Republic,poor,0.2,2441.042697784065,0.046,0.7212545647696823,4020.0028268309106,0.06683950611784778,0.8
Lao PDR,nonpoor,0.8,9239.153351692035,0.2254,1.2009618972180909,31748.715933803815,0.05910852446025012,0.6000000000000001
Lao PDR,poor,0.2,2781.6805790040544,0.0881,0.19615241112763715,11713.213844721446,0.05048113184541485,0.6000000000000001
Latvia,nonpoor,0.8,38093.571404613926,0.4997,1.0431031621014974,293727.7174682966,0.04978161816380708,0.0
Latvia,poor,0.2,11293.045872903806,0.3222,0.8275873515940109,43406.055762881064,0.040232780686689756,0.0
Lebanon,nonpoor,0.8,14951.183398423336,0.0375999999999999,1.1321144796189861,84197.75244584025,0.012295227867150744,0.6000000000000001
Lebanon,poor,0.2,5129.830568840146,0.0083,0.47154208152405497,28255.471024462888,0.012362797420524275,0.6000000000000001
Lesotho,nonpoor,0.8,2721.3412681739733,0.1894,1.0792612605956091,12711.642178771359,0.01215876541961297,0.4
Lesotho,poor,0.2,524.8708525618565,0.1278,0.6829549576175632,1696.8240596353185,0.011532663786190655,0.4
Liberia,nonpoor,0.8,1694.6712714472628,0.1476,1.1803836927819704,6451.757201114913,0.01074397879881371,0.0
Liberia,poor,0.2,525.9324635525987,0.0951999999999999,0.2784652288721182,2041.0446203382887,0.010774936689128836,0.0
Lithuania,nonpoor,0.8,45977.13794658611,0.5334,1.0443412792878413,186515.36578871944,0.018348231792963774,0.0
Lithuania,poor,0.2,14055.443677966043,0.3712,0.8226348828486343,15733.962035293855,0.020371209278633264,0.0
Luxembourg,nonpoor,0.8,134172.88601935058,0.6715000000000001,1.1451787945361849,570507.3604625835,0.0047328705099127216,0.0
Luxembourg,poor,0.2,41017.33006404259,0.5312,0.41928482185526006,153133.16287163828,0.005082099602809835,0.0
Madagascar,nonpoor,0.8,1771.0509703882958,0.0526,1.25,3904.4763793956427,0.03688258506051302,0.4
Madagascar,poor,0.2,428.2074456506166,0.009,0.0,1017.1676900750793,0.033226010723277,0.4
Malawi,nonpoor,0.8,1707.0809219024727,0.0844999999999999,1.1644294953864243,1758.5352738540378,0.024350116682349907,0.8
Malawi,poor,0.2,506.0733989743099,0.0418,0.3422820184543038,521.5941926889168,0.024518443929987303,0.8
Malaysia,nonpoor,0.8,33376.745916182896,0.5558,1.101615712261382,134686.8982783423,0.01966429624775184,1.0
