iso3,hazard,rp,income_cat,fa,v_ew
ARG,Flood,5000.0,q4,0.07716764565291163,0.25199999999999995
ARG,Flood,5000.0,q5,0.07716764565291163,0.09490320776087298
ARM,Earthquake,10.0,q1,0.011371200871021779,0.7
ARM,Earthquake,10.0,q2,0.011371200871021779,0.7
ARM,Earthquake,10.0,q3,0.011371200871021779,0.5852360978864589
ARM,Earthquake,10.0,q4,0.011371200871021779,0.09999999999999998
ARM,Earthquake,10.0,q5,0.011371200871021779,0.09999999999999998
ARM,Earthquake,25.0,q1,0.02830074666860814,0.7
ARM,Earthquake,25.0,q2,0.02830074666860814,0.7
ARM,Earthquake,25.0,q3,0.02830074666860814,0.5852360978864589
ARM,Earthquake,25.0,q4,0.02830074666860814,0.09999999999999998
ARM,Earthquake,25.0,q5,0.02830074666860814,0.09999999999999998
ARM,Earthquake,50.0,q1,0.05625473845314011,0.7
ARM,Earthquake,50.0,q2,0.05625473845314011,0.7
ARM,Earthquake,50.0,q3,0.05625473845314011,0.5852360978864589
ARM,Earthquake,50.0,q4,0.05625473845314011,0.09999999999999998
ARM,Earthquake,50.0,q5,0.05625473845314011,0.09999999999999998
ARM,Earthquake,100.0,q1,0.11114866312937377,0.7
ARM,Earthquake,100.0,q2,0.11114866312937377,0.7
ARM,Earthquake,100.0,q3,0.11114866312937377,0.5852360978864589
ARM,Earthquake,100.0,q4,0.11114866312937377,0.09999999999999998
ARM,Earthquake,100.0,q5,0.11114866312937377,0.09999999999999998
ARM,Earthquake,250.0,q1,0.2681995872683798,0.7
ARM,Earthquake,250.0,q2,0.2681995872683798,0.7
ARM,Earthquake,250.0,q3,0.2681995872683798,0.5852360978864589
ARM,Earthquake,250.0,q4,0.2681995872683798,0.09999999999999998
ARM,Earthquake,250.0,q5,0.2681995872683798,0.09999999999999998
ARM,Earthquake,500.0,q1,0.44585948557274074,0.7
ARM,Earthquake,500.0,q2,0.44585948557274074,0.7
ARM,Earthquake,500.0,q3,0.44585948557274074,0.5852360978864589
ARM,Earthquake,500.0,q4,0.44585948557274074,0.09999999999999998
ARM,Earthquake,500.0,q5,0.44585948557274074,0.09999999999999998
ARM,Earthquake,1000.0,q1,0.5711927560664434,0.7
ARM,Earthquake,1000.0,q2,0.5711927560664434,0.7
ARM,Earthquake,1000.0,q3,0.5711927560664434,0.5852360978864589
ARM,Earthquake,1000.0,q4,0.5711927560664434,0.09999999999999998
ARM,Earthquake,1000.0,q5,0.5711927560664434,0.09999999999999998
ARM,Earthquake,2500.0,q1,0.7764647287862442,0.7
ARM,Earthquake,2500.0,q2,0.7764647287862442,0.7
ARM,Earthquake,2500.0,q3,0.7764647287862442,0.5852360978864589
ARM,Earthquake,2500.0,q4,0.7764647287862442,0.09999999999999998
ARM,Earthquake,2500.0,q5,0.7764647287862442,0.09999999999999998
ARM,Earthquake,5000.0,q1,0.9,0.7502222236593782
ARM,Earthquake,5000.0,q2,0.9,0.7502222236593782
ARM,Earthquake,5000.0,q3,0.9,0.6272244667458811
ARM,Earthquake,5000.0,q4,0.9,0.10717460337991115
ARM,Earthquake,5000.0,q5,0.9,0.10717460337991115
ARM,Flood,10.0,q1,0.018984910236231563,0.6439999999999999
ARM,Flood,10.0,q2,0.019258343055866614,0.6439999999999999
ARM,Flood,10.0,q3,0.019258343055866614,0.5384172100555422
ARM,Flood,10.0,q4,0.019258343055866614,0.09199999999999997
ARM,Flood,10.0,q5,0.019258343055866614,0.09199999999999997
ARM,Flood,25.0,q1,0.03863248104491576,0.6439999999999999
ARM,Flood,25.0,q2,0.03918889074557631,0.6439999999999999
ARM,Flood,25.0,q3,0.03918889074557631,0.5384172100555422
ARM,Flood,25.0,q4,0.03918889074557631,0.09199999999999997
ARM,Flood,25.0,q5,0.03918889074557631,0.09199999999999997
ARM,Flood,50.0,q1,0.053350387636141555,0.6439999999999999
ARM,Flood,50.0,q2,0.05411877404084171,0.6439999999999999
ARM,Flood,50.0,q3,0.05411877404084171,0.5384172100555422
ARM,Flood,50.0,q4,0.05411877404084171,0.09199999999999997
ARM,Flood,50.0,q5,0.05411877404084171,0.09199999999999997
ARM,Flood,100.0,q1,0.05902417047840416,0.6439999999999999
ARM,Flood,100.0,q2,0.05987427433244975,0.6439999999999999
ARM,Flood,100.0,q3,0.05987427433244975,0.5384172100555422
ARM,Flood,100.0,q4,0.05987427433244975,0.09199999999999997
ARM,Flood,100.0,q5,0.05987427433244975,0.09199999999999997
ARM,Flood,250.0,q1,0.06183331298926104,0.6439999999999999
ARM,Flood,250.0,q2,0.06272387591042586,0.6439999999999999
ARM,Flood,250.0,q3,0.06272387591042586,0.5384172100555422
ARM,Flood,250.0,q4,0.06272387591042586,0.09199999999999997
ARM,Flood,250.0,q5,0.06272387591042586,0.09199999999999997
ARM,Flood,500.0,q1,0.06413067783811165,0.6439999999999999
ARM,Flood,500.0,q2,0.06505432887718354,0.6439999999999999
ARM,Flood,500.0,q3,0.06505432887718354,0.5384172100555422
ARM,Flood,500.0,q4,0.06505432887718354,0.09199999999999997
ARM,Flood,500.0,q5,0.06505432887718354,0.09199999999999997
ARM,Flood,1000.0,q1,0.06677381749236311,0.6439999999999999
ARM,Flood,1000.0,q2,0.06773553671924092,0.6439999999999999
ARM,Flood,1000.0,q3,0.06773553671924092,0.5384172100555422
ARM,Flood,1000.0,q4,0.06773553671924092,0.09199999999999997
ARM,Flood,1000.0,q5,0.06773553671924092,0.09199999999999997
ARM,Flood,2500.0,q1,0.0708572487316383,0.6439999999999999
ARM,Flood,2500.0,q2,0.07187778014691457,0.6439999999999999
ARM,Flood,2500.0,q3,0.07187778014691457,0.5384172100555422
ARM,Flood,2500.0,q4,0.07187778014691457,0.09199999999999997
ARM,Flood,2500.0,q5,0.07187778014691457,0.09199999999999997
ARM,Flood,5000.0,q1,0.07453073995921787,0.6439999999999999
ARM,Flood,5000.0,q2,0.07560417934465374,0.6439999999999999
ARM,Flood,5000.0,q3,0.07560417934465374,0.5384172100555422
ARM,Flood,5000.0,q4,0.07560417934465374,0.09199999999999997
ARM,Flood,5000.0,q5,0.07560417934465374,0.09199999999999997
ATG,Earthquake,10.0,q1,0.010482861055428195,0.3
ATG,Earthquake,10.0,q2,0.010482861055428195,0.3
ATG,Earthquake,10.0,q3,0.010482861055428195,0.3
ATG,Earthquake,10.0,q4,0.010482861055428195,0.1419977958156512
ATG,Earthquake,10.0,q5,0.010482861055428195,0.09999999999999992
ATG,Earthquake,25.0,q1,0.025588180504516753,0.3
ATG,Earthquake,25.0,q2,0.025588180504516753,0.3
ATG,Earthquake,25.0,q3,0.025588180504516753,0.3
ATG,Earthquake,25.0,q4,0.025588180504516753,0.1419977958156512
ATG,Earthquake,25.0,q5,0.025588180504516753,0.09999999999999992
ATG,Earthquake,50.0,q1,0.05099662746507953,0.3
ATG,Earthquake,50.0,q2,0.05099662746507953,0.3
ATG,Earthquake,50.0,q3,0.05099662746507953,0.3
ATG,Earthquake,50.0,q4,0.05099662746507953,0.1419977958156512
ATG,Earthquake,50.0,q5,0.05099662746507953,0.09999999999999992
ATG,Earthquake,100.0,q1,0.10128209050315799,0.3
ATG,Earthquake,100.0,q2,0.10128209050315799,0.3
ATG,Earthquake,100.0,q3,0.10128209050315799,0.3
ATG,Earthquake,100.0,q4,0.10128209050315799,0.1419977958156512
ATG,Earthquake,100.0,q5,0.10128209050315799,0.09999999999999992
ATG,Earthquake,250.0,q1,0.2480218826556197,0.3
ATG,Earthquake,250.0,q2,0.2480218826556197,0.3
ATG,Earthquake,250.0,q3,0.2480218826556197,0.3
ATG,Earthquake,250.0,q4,0.2480218826556197,0.1419977958156512
ATG,Earthquake,250.0,q5,0.2480218826556197,0.09999999999999992
ATG,Earthquake,500.0,q1,0.41656727413392136,0.3
ATG,Earthquake,500.0,q2,0.41656727413392136,0.3
ATG,Earthquake,500.0,q3,0.41656727413392136,0.3
ATG,Earthquake,500.0,q4,0.41656727413392136,0.1419977958156512
ATG,Earthquake,500.0,q5,0.41656727413392136,0.09999999999999992
ATG,Earthquake,1000.0,q1,0.5378978136012943,0.3
ATG,Earthquake,1000.0,q2,0.5378978136012943,0.3
ATG,Earthquake,1000.0,q3,0.5378978136012943,0.3
