iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta
MDA,13308.417334626298,2538894.0,0.43173,0.4660296594661768,0.46216341626195495,0.5,0.375,0.4075954431814228,0.4814199819642096,0.3657970163040006,0.0,0.06,0.05,0.8,1.5
MEX,20254.7811446095,127504125.0,0.813,0.45896844343331944,0.537289360120955,0.8333333333333334,0.7083333333333334,0.23087021820623913,0.17087523094750345,0.11312524063519785,0.031000052181,0.06,0.05,0.8,1.5
MKD,17128.760501541892,2057679.0,0.59118,0.48001441815385143,0.3600246995208275,0.6666666666666666,0.4833333333333333,0.2633828630982844,0.2585810075757346,0.08113556356676355,0.026633504383,0.06,0.05,0.8,1.5
MLI,2132.6233149007703,22593590.0,0.45437,0.5736654482148582,0.49799807649048144,0.6666666666666666,0.4083333333333333,0.6798061699455986,0.08982290665962211,0.20469674500973195,0.152188068547,0.06,0.05,0.8,1.5
MMR,4249.87615142487,54179306.0,0.31771,0.4180693914260636,0.33979775939222445,0.5,0.5,0.34198358432077974,0.09257760793544759,0.23264351094554117,0.019911567273,0.06,0.05,0.8,1.5
MNE,22108.7307932994,617213.0,0.68164,0.4236035393738244,0.37029015434068174,0.7407407407407408,0.5328703703703704,0.3178534786705985,0.3286854960583045,0.10867328100219606,0.02839832998,0.06,0.05,0.8,1.5
MNG,12073.245456961598,3398366.0,0.6893,0.38223813366532067,0.39598720882800714,0.8333333333333334,0.5583333333333333,0.22914325221774237,0.28324534474521473,0.11160065047275058,0.007115855819,0.06,0.05,0.8,1.5
MOZ,1250.77241374562,32969518.0,0.38187,0.7136908668824892,0.5841145870621022,1.0,0.5833333333333334,0.3294826964673195,0.07645922139397918,0.2394881202233725,0.743807658951,0.06,0.05,0.8,1.5
MRT,5330.214502870308,4736139.0,0.56923,0.5611604077563926,0.38403140794822604,0.6666666666666666,0.6666666666666666,0.22076578577680425,0.04534104851833547,0.25333680581296414,0.064908373034,0.06,0.05,0.8,1.5
MWI,1466.8794173168403,20405317.0,0.1798,0.5417738643394608,0.4278852403351742,0.6666666666666666,0.6666666666666666,0.9707059348850776,0.11147329638358644,0.1398123694633303,0.700605987387,0.06,0.05,0.8,1.5
