iso3,income_cat,hazard,capital_t,sigma_h,delta_k_h_eff,productivity_pi,savings_s_h,delta_i_h_pds,eta,delta_tax_sp,discount_rate_rho,k_h_eff,delta_c_h_max,lambda_h,consumption_floor_xi,t_hat,t_tilde,delta_tilde_k_h_eff
BEN,q2,Storm surge,50,0.2166936869532021,2587.8216188321185,0.4570694328380306,0.0,0,1.5,0,0.06,3991.9699190597207,,0.9270423618969159,,0.0,0.0,2587.8216188321185
BEN,q2,Tsunami,50,0.2166936869532021,2587.8216188321185,0.4570694328380306,0.0,0,1.5,0,0.06,3991.9699190597207,,0.9270423618969159,,0.0,0.0,2587.8216188321185
BEN,q2,Wind,50,0.2166936869532021,2587.821618832118,0.4570694328380306,0.0,0,1.5,0,0.06,3991.9699190597207,,0.9270423618969164,,0.0,0.0,2587.821618832118
BEN,q3,Earthquake,50,0.2166936869532021,3356.782263394922,0.4570694328380306,0.0,0,1.5,0,0.06,5832.1592531208025,,1.205468314491731,,0.0,0.0,3356.782263394922
BEN,q3,Flood,50,0.2166936869532021,3535.372455753149,0.4570694328380306,0.0,0,1.5,0,0.06,5832.1592531208025,,1.0825513839638194,,0.0,0.0,3535.372455753149
BEN,q3,Storm surge,50,0.2166936869532021,3535.372455753149,0.4570694328380306,0.0,0,1.5,0,0.06,5832.1592531208025,,1.0825513839638194,,0.0,0.0,3535.372455753149
BEN,q3,Tsunami,50,0.2166936869532021,3535.372455753149,0.4570694328380306,0.0,0,1.5,0,0.06,5832.1592531208025,,1.0825513839638194,,0.0,0.0,3535.372455753149
BEN,q3,Wind,50,0.2166936869532021,3424.693275316351,0.4570694328380306,0.0,0,1.5,0,0.06,5832.1592531208025,,1.1565622138783243,,0.0,0.0,3424.693275316351
BEN,q4,Earthquake,50,0.2166936869532021,3292.098715042587,0.4570694328380306,0.0,0,1.5,0,0.06,8130.034073379823,,2.1052297274053755,,0.0,0.0,3292.098715042587
BEN,q4,Flood,50,0.2166936869532021,4188.621995589382,0.4570694328380306,0.0,0,1.5,0,0.06,8130.034073379823,,1.473713464010904,,0.0,0.0,4188.621995589382
BEN,q4,Storm surge,50,0.2166936869532021,4188.621995589382,0.4570694328380306,0.0,0,1.5,0,0.06,8130.034073379823,,1.473713464010904,,0.0,0.0,4188.621995589382
BEN,q4,Tsunami,50,0.2166936869532021,4188.621995589382,0.4570694328380306,0.0,0,1.5,0,0.06,8130.034073379823,,1.473713464010904,,0.0,0.0,4188.621995589382
BEN,q4,Wind,50,0.2166936869532021,3397.512917668172,0.4570694328380306,0.0,0,1.5,0,0.06,8130.034073379823,,2.019947440518993,,0.0,0.0,3397.512917668172
BEN,q5,Earthquake,50,0.2166936869532021,6079.353511570509,0.4570694328380306,0.0,0,1.5,0,0.06,16972.404115182744,,2.448765476966807,,0.0,0.0,6079.353511570509
BEN,q5,Flood,50,0.2166936869532021,8744.241974047742,0.4570694328380306,0.0,0,1.5,0,0.06,16972.404115182744,,1.473713464010904,,0.0,0.0,8744.241974047742
BEN,q5,Storm surge,50,0.2166936869532021,8744.241974047742,0.4570694328380306,0.0,0,1.5,0,0.06,16972.404115182744,,1.473713464010904,,0.0,0.0,8744.241974047742
BEN,q5,Tsunami,50,0.2166936869532021,8744.241974047742,0.4570694328380306,0.0,0,1.5,0,0.06,16972.404115182744,,1.473713464010904,,0.0,0.0,8744.241974047742
