iso3,income_cat,income_share,axfin,diversified_share,n,c,gamma_SP,k,liquidity
ITA,q4,0.2307692307692308,0.4836336956434804,0.35044818709568815,0.2,51106.37444348805,1.084619967260889,368971.46453725925,2369.276738608501
ITA,q5,0.4165834165834167,0.5720127744682899,0.3592860949781691,0.2,92256.96165772519,2.007327628771685,657002.7770004931,2343.362478494414
JOR,q1,0.0819999999999999,0.0311587810546151,0.2506571286735848,0.2,3891.1733535088965,0.48854310601940254,11918.142428471156,318.133848575443
JOR,q2,0.121,0.0030155371509295,0.18487477027677465,0.2,5741.853363104597,0.5317065300591186,19130.390915448654,360.8433994343653
JOR,q3,0.158,0.0387778946918668,0.176395344239637,0.2,7497.62670554154,0.6624501176547297,25240.038824676794,398.686387661804
JOR,q4,0.215,0.0283132829857013,0.18850920592690842,0.2,10202.466719566019,0.9633409023317516,33840.45517592367,425.41577830959
JOR,q5,0.424,0.098142756197973,0.23357379915591492,0.2,20120.21343765578,2.353959343934997,63030.43991771563,456.61341996737843
JPN,q1,0.077077077077077,0.5168410148253075,0.6426869489681553,0.2,16123.71906813122,0.5642214811966397,48743.38429451937,2174.8870303656417
JPN,q2,0.1281281281281281,0.5874796193207347,0.4601491066032728,0.2,26803.065463906456,0.6715339343173143,122422.11237642555,2211.405489909777
JPN,q3,0.1661661661661661,0.6513876395250483,0.45937401309035425,0.2,34760.22552350369,0.8694285998232785,158994.12628928878,2183.5757697686263
JPN,q4,0.2172172172172172,0.7208094448564782,0.404732955697211,0.2,45439.571919278926,1.0013541757199595,228848.2776073009,2274.008620253527
JPN,q5,0.4114114114114114,0.7141678817371131,0.4040687993852745,0.2,86062.96801301216,1.8934618089428075,433924.34911460825,2275.6828434172626
KAZ,q1,0.0980980980980981,0.1071710723853977,0.26657635269553975,0.2,12798.512859501363,0.5009130167305235,25445.285574002333,922.0528527898166
KAZ,q2,0.1351351351351351,0.2064420231642981,0.2492041456981995,0.2,17630.604449313105,0.6450652568170442,35882.44100737056,1005.5159250559103
KAZ,q3,0.1681681681681681,0.1670728700183121,0.23528510704608713,0.2,21940.307759145195,0.7579112265830767,45481.54143049136,957.1266692403018
KAZ,q4,0.2192192192192192,0.1959069980184907,0.26261245502485075,0.2,28600.7583288857,1.1027423524741158,57169.745349530276,1010.565085594037
KAZ,q5,0.3793793793793794,0.2786557156465492,0.27430497490080663,0.2,49496.28952807161,1.9933681473952392,97368.7738295763,1017.9676030822106
KEN,q1,0.072,0.0740058896639231,0.08033456970645321,0.2,1757.351422543093,0.35064196893176663,3984.4974670129,159.8066707919941
KEN,q2,0.11,0.1417744565197023,0.07426646549749273,0.2,2684.842451107503,0.4952384647432544,6127.592531114615,202.6135176763343
KEN,q3,0.146,0.2108426130396833,0.07950663333125323,0.2,3563.51816237905,0.7036961058290088,8086.949213536484,222.94305405794717
KEN,q4,0.205,0.2888084408097629,0.07978273677431999,0.2,5003.570022518529,0.9914977177399604,11351.556997699803,215.2050913647466
KEN,q5,0.467,0.3563325840509562,0.08685595604438322,0.2,11398.376587883675,2.45892574275601,25660.633156106018,217.39608199266223
KOR,q1,0.075,0.2681632396972375,0.3965466007599594,0.2,17085.046889597812,0.39291277447264933,81796.4693132858,1784.829217191237
