iso3,hazard,income_cat,rp,fa,recovery_rate,recovery_time,macro_multiplier_Gamma,v_ew
ALB,Earthquake,q4,10.0,0.0039554094637977225,0.1570000000000001,19.081097283783368,1.4701482473997542,0.29999999999999993
ALB,Earthquake,q4,25.0,0.009862172624152177,0.1570000000000001,19.081097283783368,1.4701482473997542,0.29999999999999993
ALB,Earthquake,q4,50.0,0.01967956628381014,0.1570000000000001,19.081097283783368,1.4701482473997542,0.29999999999999993
ALB,Earthquake,q4,100.0,0.039181242399818836,0.1570000000000001,19.081097283783368,1.4701482473997542,0.29999999999999993
ALB,Earthquake,q4,250.0,0.0966182460741765,0.1570000000000001,19.081097283783368,1.4701482473997542,0.29999999999999993
ALB,Earthquake,q4,500.0,0.16335235390661737,0.1570000000000001,19.081097283783368,1.4701482473997542,0.29999999999999993
ALB,Earthquake,q4,1000.0,0.2118260020762758,0.1570000000000001,19.081097283783368,1.4701482473997542,0.29999999999999993
ALB,Earthquake,q4,2500.0,0.29450410801052057,0.1570000000000001,19.081097283783368,1.4701482473997542,0.29999999999999993
ALB,Earthquake,q4,5000.0,0.3742619971691063,0.1570000000000001,19.081097283783368,1.4701482473997542,0.29999999999999993
ALB,Earthquake,q5,10.0,0.0039554094637977225,0.4030000000000003,7.433578842565729,1.2203502585005326,0.11349823051308817
ALB,Earthquake,q5,25.0,0.009862172624152177,0.4030000000000003,7.433578842565729,1.2203502585005326,0.11349823051308817
ALB,Earthquake,q5,50.0,0.01967956628381014,0.4030000000000003,7.433578842565729,1.2203502585005326,0.11349823051308817
ALB,Earthquake,q5,100.0,0.039181242399818836,0.4030000000000003,7.433578842565729,1.2203502585005326,0.11349823051308817
ALB,Earthquake,q5,250.0,0.0966182460741765,0.4030000000000003,7.433578842565729,1.2203502585005326,0.11349823051308817
ALB,Earthquake,q5,500.0,0.16335235390661737,0.4030000000000003,7.433578842565729,1.2203502585005326,0.11349823051308817
ALB,Earthquake,q5,1000.0,0.2118260020762758,0.4030000000000003,7.433578842565729,1.2203502585005326,0.11349823051308817
ALB,Earthquake,q5,2500.0,0.29450410801052057,0.4030000000000003,7.433578842565729,1.2203502585005326,0.11349823051308817
ALB,Earthquake,q5,5000.0,0.3742619971691063,0.4030000000000003,7.433578842565729,1.2203502585005326,0.11349823051308817
ALB,Flood,q1,10.0,0.010045289069411864,0.1497866136776995,20.0,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,25.0,0.020402939064126255,0.1497866136776995,20.0,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,50.0,0.02824099112656759,0.1497866136776995,20.0,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,100.0,0.031354971208773404,0.1497866136776995,20.0,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,250.0,0.03308444113528457,0.1497866136776995,20.0,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,500.0,0.03455862309162492,0.1497866136776995,20.0,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,1000.0,0.036291936071866475,0.1497866136776995,20.0,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,2500.0,0.03905113533260091,0.1497866136776995,20.0,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,5000.0,0.04153873405773115,0.1497866136776995,20.0,1.4863140116389217,0.6693468853417732
