iso3,hazard,income_cat,rp,fa,recovery_rate,recovery_time,n,macro_multiplier_Gamma,v_ew
AGO,Flood,q3,1000.0,0.0029031574536553923,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,2500.0,0.003124909901572891,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5096400427099916
AGO,Flood,q3,5000.0,0.0033326732726217103,0.1497866136776995,20.0,0.2,1.5332208995388774,0.5096400427099916
AGO,Earthquake,q4,10.0,0.0001779007713898703,0.1800000000000001,16.642957075299936,0.2,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,25.0,0.0004382448939886333,0.1800000000000001,16.642957075299936,0.2,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,50.0,0.0008827493619689876,0.1800000000000001,16.642957075299936,0.2,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,100.0,0.0017647390326807442,0.1800000000000001,16.642957075299936,0.2,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,250.0,0.004406163026662627,0.1800000000000001,16.642957075299936,0.2,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,500.0,0.008216432011645574,0.1800000000000001,16.642957075299936,0.2,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,1000.0,0.012279810212573142,0.1800000000000001,16.642957075299936,0.2,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,2500.0,0.020789676472999025,0.1800000000000001,16.642957075299936,0.2,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,5000.0,0.030853768074053912,0.1800000000000001,16.642957075299936,0.2,1.4660941952351574,0.2920970310302768
AGO,Flood,q4,10.0,0.0007976332648887252,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,25.0,0.0016265242345101518,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,50.0,0.0022575374212502174,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,100.0,0.0025080462738606034,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,250.0,0.0026410331496681256,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,500.0,0.0027593160230461934,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,1000.0,0.002901410425693921,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,2500.0,0.0031230294300303462,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q4,5000.0,0.003330667775680307,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Earthquake,q5,10.0,0.0001779007713898703,0.1830000000000001,16.370121713409773,0.2,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,25.0,0.0004382448939886333,0.1830000000000001,16.370121713409773,0.2,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,50.0,0.0008827493619689876,0.1830000000000001,16.370121713409773,0.2,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,100.0,0.0017647390326807442,0.1830000000000001,16.370121713409773,0.2,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,250.0,0.004406163026662627,0.1830000000000001,16.370121713409773,0.2,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,500.0,0.008216432011645574,0.1830000000000001,16.370121713409773,0.2,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,1000.0,0.012279810212573142,0.1830000000000001,16.370121713409773,0.2,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,2500.0,0.020789676472999025,0.1830000000000001,16.370121713409773,0.2,1.4603399459112667,0.28811627984659943
AGO,Earthquake,q5,5000.0,0.030853768074053912,0.1830000000000001,16.370121713409773,0.2,1.4603399459112667,0.28811627984659943
AGO,Flood,q5,10.0,0.0008017707301823109,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,25.0,0.001634961304358788,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
AGO,Flood,q5,50.0,0.002269247668478556,0.1497866136776995,20.0,0.2,1.5332208995388774,0.3918564170144741
