iso3,income_cat,income_share,social
FIN,q5,0.3713713713713714,0.3195463318074862
FJI,q1,0.084,0.19714045566039834
FJI,q2,0.129,0.13240182070715575
FJI,q3,0.168,0.14477864498292017
FJI,q4,0.225,0.140529753267363
FJI,q5,0.39399999999999996,0.2057122562235086
FRA,q1,0.07692307692307693,0.5718195568407681
FRA,q2,0.13086913086913088,0.3932940238511712
FRA,q3,0.17382617382617382,0.4052523181842677
FRA,q4,0.2247752247752248,0.3235892238842169
FRA,q5,0.3936063936063936,0.3235892238842169
FSM,q1,0.055,0.49106059894818044
FSM,q2,0.107,0.33594182555456065
FSM,q3,0.153,0.2166502708386135
FSM,q4,0.225,0.13711753805318225
FSM,q5,0.46,0.11174357377820193
GAB,q1,0.06006006006006005,0.06446669235813537
GAB,q2,0.10810810810810811,0.06331823506824133
GAB,q3,0.15715715715715714,0.07142836099281119
GAB,q4,0.2302302302302302,0.04860998874651225
GAB,q5,0.4444444444444444,0.042363034046981385
GBR,q1,0.077,0.534054519467089
GBR,q2,0.125,0.3664478307604318
GBR,q3,0.171,0.3813320524594218
GBR,q4,0.23,0.3381983236629422
GBR,q5,0.397,0.3381983236629422
GEO,q1,0.06993006993006995,0.8897332865386811
GEO,q2,0.12287712287712291,0.5478776802040612
GEO,q3,0.16983016983016985,0.39119739752172533
GEO,q4,0.23176823176823177,0.3410695583198826
GEO,q5,0.4055944055944057,0.23633706020637582
GHA,q1,0.047,0.018483763504191508
GHA,q2,0.096,0.008513851582185164
GHA,q3,0.14800000000000002,0.008962688986458342
GHA,q4,0.223,0.011539038127444515
GHA,q5,0.486,0.015765117216375826
GIN,q1,0.085,0.061311106405694135
GIN,q2,0.131,0.05283728988252033
GIN,q3,0.17300000000000001,0.046804010535716735
GIN,q4,0.22899999999999998,0.05295940892209036
GIN,q5,0.382,0.09728860516741647
GMB,q1,0.06593406593406595,0.08309087231243942
GMB,q2,0.10889110889110891,0.06420100705760035
GMB,q3,0.15184815184815187,0.07019185017397314
GMB,q4,0.21778221778221782,0.05596494069896777
GMB,q5,0.4555444555444556,0.06032616425375991
GNB,q1,0.079,0.0545518282367993
GNB,q2,0.11900000000000001,0.0516630037658915
GNB,q3,0.162,0.0592862494541953
GNB,q4,0.22399999999999998,0.0549746727404243
GNB,q5,0.41600000000000004,0.0549746727404243
GRC,q1,0.071,0.3150639636124719
GRC,q2,0.125,0.2245163962472867
GRC,q3,0.172,0.2974842341712783
GRC,q4,0.231,0.2449937189838516
GRC,q5,0.401,0.2449937189838516
