iso3,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
MRT,5330.21450287031,4736139.0,0.075,0.56923,2065.15551570106,0.078,0.106,0.0692707583890405,0.0876310704541119
MUS,22841.3505464071,1262523.0,0.07200000000000001,0.4081,10256.2303053576,0.2322,0.3261,0.30723845437356506,0.23710198966704202
MEX,20254.7811446095,127504125.0,0.05,0.813,11496.5228716049,0.049,0.16260000000000002,0.21512685429442957,0.15087019783149827
FSM,3263.66519152845,114164.0,0.055,0.23217,3713.95536246102,0.197,0.197,0.49106059894818044,0.13341055402023103
MDA,13308.4173346263,2538894.0,0.10099999999999999,0.43173,5714.43048840294,0.0398,0.1075,0.6283956202349913,0.4513681694825048
MNG,12073.2454569616,3398366.0,0.079,0.6893,5045.50470031666,0.1802,0.3469,0.37011074611350575,0.2338496895983255
MNE,22108.7307932994,617213.0,0.053,0.68164,10093.4387007266,0.0393,0.1421,0.41972997524002165,0.3074520999785621
MAR,8083.365234375,37457971.0,0.067,0.6459600000000001,3441.99145507813,0.0416,0.0947,0.2663201333900117,0.1255283735097151
MOZ,1250.77241374562,32969518.0,0.044000000000000004,0.38187,558.298606448221,0.059800000000000006,0.1414,0.09605684636160114,0.07940821174298285
MMR,4249.87615142487,54179306.0,0.08900000000000001,0.31771,1149.21121846296,0.0496,0.1175,0.41963438542523707,0.261589873994156
NAM,9762.77689238507,2567012.0,0.027999999999999997,0.53956,5031.11503011478,0.1873,0.43700000000000006,0.2780851530301058,0.060754749022105196
NRU,11024.3429885085,12668.0,0.08,1.0,11970.9382798352,,,0.1413009074797657,0.1007262818557086
NPL,4001.69995474296,30547580.0,0.083,0.21451,1336.54604729847,0.09699999999999999,0.20370000000000002,0.19576886527840198,0.29222571573263273
NLD,59249.1670039699,17700982.0,0.092,0.9288599999999999,57025.01245598,0.5321,0.7406,0.4378458,0.331487095
NZL,45185.312534188,5124100.0,,0.8688400000000001,48418.5916631992,0.5611999999999999,0.7798999999999999,0.5774290363861964,0.1812989568583292
NIC,5822.35352470586,6948392.0,0.051,0.59556,2255.42599496242,0.031200000000000002,0.0806,0.3598193032080174,0.11900661370088779
NER,1274.641741468,26207977.0,0.076,0.16893999999999998,585.404929171026,0.0115,0.0341,0.5052120034906319,0.386650591947819
NGA,4963.16031295929,218541212.0,0.071,0.53521,2162.63373428577,0.0805,0.2414,0.026306867548086497,0.06375353741888547
MKD,17128.7605015419,2057679.0,0.057999999999999996,0.59118,6591.47131411961,0.0603,0.2071,,
NOR,67460.2782784609,5457127.0,0.08800000000000001,0.83664,106177.197179078,0.7709,0.8344,0.43995509,0.302408168
OMN,35336.8946545877,4576298.0,,0.8775,25056.7948608378,0.1334,0.2912,0.2870463045735,0.1273793335590301
PAK,5376.96685550493,235824862.0,0.096,0.37731000000000003,1588.8798287911,0.0127,0.0311,0.09056017653106124,0.1684776545714117
PLW,14112.6678918756,18055.0,,0.8195600000000001,12921.8273205171,,,0.14801151080140376,0.10637443249535951
PAN,33266.4768445342,4408581.0,0.037000000000000005,0.6914100000000001,17357.628633794,0.0894,0.192,0.32245026253226483,0.13140351838877457
PNG,3752.9449512175,10142619.0,0.051,0.13582,3115.92292304288,0.1438,0.1438,0.004448386848737789,0.0013822475246014483
PRY,13531.396663349,6780744.0,0.05,0.62818,6153.05565720044,0.029500000000000002,0.0526,0.1978577012386547,0.09988789972584161
PER,12743.9423914767,34049588.0,0.057999999999999996,0.78708,7125.82993135746,0.0482,0.2108,0.19790823969144516,0.11189654479950054
PHL,8581.93769298126,115559009.0,0.065,0.47977,3498.5098055874,0.06509999999999999,0.2747,0.32893947063821033,0.33267494671351383
POL,37706.6061283981,36821749.0,0.086,0.60134,18688.0044867103,0.3035,0.40490000000000004,0.593962,0.488281
PRT,35767.7225752854,10409704.0,0.069,0.67381,24515.2658507319,0.30670000000000003,0.5069,0.56606269,0.45483133
PRI,34297.933716822,3221789.0,,0.9361,35208.6371888414,0.13390000000000002,0.30210000000000004,,
QAT,96557.8137609708,2695122.0,,0.99318,87661.4501457275,0.19760000000000003,0.2982,0.2607774827838083,0.1169570453477261
ROU,32495.9091605714,19047009.0,0.055999999999999994,0.54489,15786.8017421977,0.1117,0.2371,0.563182,0.409705
RUS,27450.44921875,144236933.0,0.075,0.75126,15270.7060546875,0.076,0.248,0.3029364030278587,0.19396386124247902
RWA,2364.80196995138,13776698.0,0.06,0.17721,966.232071361993,0.077,0.264,0.07768609939135075,0.0582543221081864
WSM,5155.62007635288,222382.0,0.068,0.17615999999999998,3745.56036746313,,,0.22766987202365246,0.14591698741806813
SMR,61609.0121779947,33660.0,,0.97732,54982.451714817,,,,
STP,3438.85982501851,227380.0,0.064,0.75755,2386.6961758184,,,0.034021331087507045,0.021659387843237572
SAU,50188.2974879582,36408820.0,,0.84729,30447.8837074473,0.2314,0.43729999999999997,0.242983114414295,0.1179807088507118
SEN,3564.62813676032,17316449.0,0.071,0.49085999999999996,1598.72643336012,0.073,0.0978,0.0940813533373288,0.13429769286149149
SRB,20885.8886079244,6664449.0,0.066,0.56873,9537.68286673128,0.11779999999999999,0.237,0.608730294288872,0.30853375787596066
SYC,25205.7362861768,119878.0,0.07,0.58396,13250.4558332375,0.94,0.94,0.3315903254918629,0.1366080080025557
SLE,1634.76383028533,8605718.0,0.079,0.43831000000000003,475.795727844622,0.0432,0.0525,0.019833152438034345,0.035038825702037237
SGP,108036.110993232,5637022.0,,1.0,82807.6290622897,0.5142,0.6568,0.5099564517423969,0.1645707265525972
SXM,41942.919341784,42848.0,,1.0,35873.0564894806,,,,
SVK,33176.1845690068,5431752.0,0.095,0.53909,21256.8084273666,0.4447,0.6842,0.43040267,0.389464188
SVN,41015.2252312307,2111986.0,0.10300000000000001,0.55751,28439.3340989687,0.24850000000000003,0.498,0.62540764,0.33581189
SLB,2247.78488218831,724273.0,0.07,0.25584,2205.25180509148,0.26,0.26,0.05890216782659068,0.06746026860499016
SOM,1448.55673475541,17597511.0,,0.47324,592.103121972088,0.0038,0.0444,,
ZAF,13478.7538566236,59893885.0,0.024,0.6833499999999999,6766.48125429478,0.2378,0.4611,0.7023839332730568,0.2884855294007552
ESP,40223.0125356769,47778340.0,0.06,0.81304,29674.5442864413,0.5222,0.544,0.52520472,0.428425678
LKA,12200.1373948947,22181000.0,0.07400000000000001,0.19025999999999998,3354.38340757565,0.2693,0.38530000000000003,0.1205926375569133,0.11529389936051432
KNA,28770.1389700103,47657.0,,0.30991,20262.2671364514,,,0.2536423253097011,0.1223423405221354
LCA,15100.2860081558,179857.0,0.031,0.1905,13030.9284804245,0.35,0.35,0.2341732176934838,0.1176044680815582
VCT,14572.6070302283,103948.0,0.203,0.53875,9125.32477064743,0.206,0.206,0.2971285374554117,0.1306990588862233
SDN,3570.607421875,46874204.0,0.078,0.35956000000000005,1102.146484375,0.021,0.1105,0.0,0.0641038323123984
SUR,15047.6139456754,618040.0,,0.66307,5858.82466074423,,,,
SWE,55316.3386170769,10486941.0,0.08199999999999999,0.88492,56373.7885792007,0.6931999999999999,0.8668,0.45691392,0.347844955
CHE,72278.2072582055,8775760.0,0.075,0.74092,93259.9057183024,0.6163000000000001,0.5264,0.47970301,0.305041573
TJK,4137.27759953736,9952787.0,0.07400000000000001,0.27968,1054.18948358818,0.0015,0.0168,0.4257993663327729,0.2177242521031546
TZA,2623.86157226563,65497748.0,0.069,0.36682000000000003,1192.76647949219,0.0232,0.08900000000000001,0.04023313489010517,0.0497451653775356
THA,17507.6201930152,71697030.0,0.076,0.5288900000000001,6909.9562847948,0.3847,0.6163000000000001,0.32932705821100805,0.757542082289489
TLS,3943.0924341782,1341296.0,0.094,0.32073999999999997,2389.2958750343,0.62,0.62,0.0789315907013029,0.05906232245256963
TGO,2202.72681593814,8848699.0,0.057999999999999996,0.43921,942.649901579536,0.0629,0.152,0.10271448406328286,0.05701305543410375
TON,6142.96353651678,106858.0,0.077,0.23125,4425.97149198516,0.008,0.008,0.2022376237021387,0.1109042180674185
TTO,23295.5463399581,1531044.0,0.049,0.5334,19629.4653400829,0.28550000000000003,0.4129,0.3307498253689382,0.1370969502078359
TUN,10569.050828623,12356117.0,0.078,0.70214,3747.41939149283,0.058499999999999996,0.1906,0.3008475726019586,0.1331442169349871
TUR,33149.4982176858,84979913.0,0.054000000000000006,0.77022,10674.5041731531,0.029500000000000002,0.1393,0.24822430860080147,0.23312237962080948
TKM,14740.0095783214,6430770.0,,0.53494,8792.5485039672,0.0373,0.0557,,
TCA,20718.3889462794,45703.0,,0.9404699999999999,24917.595805527,,,,
TUV,4591.33071332173,11312.0,0.066,0.65527,5221.53279904243,,,0.167865629520049,0.1088064079603552
