country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Latin America & Caribbean,16335.7170181105,659311105.0,,0.816212316255429,9474.46768764656,0.1207,0.2163,0.23658341020317297,0.1706217948256254
Latin America & Caribbean (excluding high income),15585.8430525905,596596955.0,,0.8122242834405181,8884.68273481444,0.1144,0.21100000000000002,,
Latin America & the Caribbean (IDA & IBRD countries),16255.6490919039,643602758.0,,0.816551539404217,9237.90374865276,,,,
Latvia,32733.4662982719,1883379.0,0.069,0.6854,21851.1052012696,0.3222,0.4997,0.5810643914861707,0.23807465629214486
Least developed countries: UN classification,3139.71731548556,1125179454.0,,0.358217260468409,1259.14120042621,,,,
Lebanon,12986.9128325067,5489739.0,0.079,0.89262,4136.14657516013,0.0083,0.037599999999999995,,
Lesotho,2282.04718505155,2305825.0,0.046,0.29943000000000003,1107.39529790821,0.1278,0.1894,0.3902200654268819,0.11893606680844178
Liberia,1460.92350986833,5302681.0,0.07200000000000001,0.53065,754.532876859838,0.09519999999999999,0.1476,0.0567916703973895,0.07471045500440922
Libya,19796.5874982858,6812341.0,,0.8130200000000001,6716.09598462328,0.1119,0.21030000000000001,,
Lithuania,39592.7990928621,2833000.0,0.071,0.68465,24826.7910371972,0.3712,0.5334,0.7601398611176803,0.2073903741232097
Low & middle income,11150.593086367,6677948824.0,,0.521545493940602,5793.34394875075,0.155,0.2763,,
Low income,1940.03741677129,703727949.0,,0.34522175733485,741.244363322251,0.0535,0.1057,0.09126224043403816,0.07356211193014063
Lower middle income,7127.77466950788,3190012599.0,,0.422537737582023,2542.19993808198,0.0706,0.16399999999999998,0.1740184426617783,0.16084558313886677
Luxembourg,115541.774828289,650774.0,0.071,0.91881,126426.089934322,0.5312,0.6715000000000001,,
"Macao SAR, China",46871.9714490358,695168.0,,1.0,31617.5018997155,,,,
Madagascar,1502.48226544076,29611714.0,0.057,0.39881999999999995,505.035527643123,0.009000000000000001,0.0526,,
