iso3,year,forecast_accuracy
EST,1989,0.44
EST,1990,0.461
EST,1991,0.464
EST,1992,0.465
EST,1993,0.466
EST,1994,0.46
EST,1995,0.481
EST,1996,0.518
EST,1997,0.525
EST,1998,0.554
EST,1999,0.581
EST,2000,0.584
EST,2001,0.579
EST,2002,0.591
EST,2003,0.59
EST,2004,0.615
EST,2005,0.634
EST,2006,0.6395
EST,2007,0.645
EST,2008,0.642
EST,2009,0.641
EST,2010,0.623
EST,2011,0.615
EST,2012,0.617
EST,2013,0.637
EST,2014,0.645
EST,2015,0.662
EST,2016,0.656
EST,2017,0.665
EST,2018,0.674
FIN,1987,0.389
FIN,1988,0.434
FIN,1989,0.44
FIN,1990,0.461
FIN,1991,0.464
FIN,1992,0.465
FIN,1993,0.466
FIN,1994,0.46
FIN,1995,0.481
FIN,1996,0.518
FIN,1997,0.525
FIN,1998,0.554
FIN,1999,0.581
FIN,2000,0.584
FIN,2001,0.579
FIN,2002,0.591
FIN,2003,0.59
FIN,2004,0.615
FIN,2005,0.634
FIN,2006,0.6395
FIN,2007,0.645
FIN,2008,0.642
FIN,2009,0.641
FIN,2010,0.623
FIN,2011,0.615
FIN,2012,0.617
FIN,2013,0.637
FIN,2014,0.645
FIN,2015,0.662
FIN,2016,0.656
FIN,2017,0.665
FIN,2018,0.674
FRA,1987,0.389
FRA,1988,0.434
FRA,1989,0.44
FRA,1990,0.461
FRA,1991,0.464
FRA,1992,0.465
FRA,1993,0.466
FRA,1994,0.46
FRA,1995,0.481
FRA,1996,0.518
FRA,1997,0.525
FRA,1998,0.554
FRA,1999,0.581
FRA,2000,0.584
FRA,2001,0.579
FRA,2002,0.591
FRA,2003,0.59
FRA,2004,0.615
FRA,2005,0.634
FRA,2006,0.6395
FRA,2007,0.645
FRA,2008,0.642
FRA,2009,0.641
FRA,2010,0.623
FRA,2011,0.615
FRA,2012,0.617
FRA,2013,0.637
FRA,2014,0.645
FRA,2015,0.662
FRA,2016,0.656
FRA,2017,0.665
FRA,2018,0.674
FRO,1987,0.389
FRO,1988,0.434
FRO,1989,0.44
FRO,1990,0.461
FRO,1991,0.464
FRO,1992,0.465
FRO,1993,0.466
FRO,1994,0.46
