iso3,income_cat,social
ISL,q4,0.2575741627562805
ISL,q5,0.2575741627562805
IND,q1,0.2176885575022217
IND,q2,0.1373399375872876
IND,q3,0.1373399375872876
IND,q4,0.1373399375872876
IND,q5,0.1373399375872876
IDN,q1,0.21797019515665453
IDN,q2,0.13856799201912734
IDN,q3,0.13856799201912734
IDN,q4,0.13856799201912734
IDN,q5,0.13856799201912734
IRN,q1,0.24380441881208367
IRN,q2,0.17941061044293447
IRN,q3,0.17941061044293447
IRN,q4,0.17941061044293447
IRN,q5,0.17941061044293447
IRQ,q1,0.20163034940566052
IRQ,q2,0.14179042120864888
IRQ,q3,0.14179042120864888
IRQ,q4,0.14179042120864888
IRQ,q5,0.14179042120864888
IRL,q1,0.3932529499497136
IRL,q2,0.24851659543669108
IRL,q3,0.24851659543669108
IRL,q4,0.24851659543669108
IRL,q5,0.24851659543669108
ISR,q1,0.3859577740016993
ISR,q2,0.26120055067135717
ISR,q3,0.26120055067135717
ISR,q4,0.26120055067135717
ISR,q5,0.26120055067135717
ITA,q1,0.3681467574894546
ITA,q2,0.3261352302625445
ITA,q3,0.3261352302625445
ITA,q4,0.3261352302625445
ITA,q5,0.3261352302625445
JAM,q1,0.19539248225058975
JAM,q2,0.13832239062261853
JAM,q3,0.13832239062261853
JAM,q4,0.13832239062261853
JAM,q5,0.13832239062261853
JPN,q1,0.42905926676765943
JPN,q2,0.3186308997315437
JPN,q3,0.3186308997315437
JPN,q4,0.3186308997315437
JPN,q5,0.3186308997315437
JOR,q1,0.306541284529809
JOR,q2,0.2041664599268449
JOR,q3,0.2041664599268449
JOR,q4,0.2041664599268449
JOR,q5,0.2041664599268449
KAZ,q1,0.4799645492448219
KAZ,q2,0.23418714091521914
KAZ,q3,0.23418714091521914
KAZ,q4,0.23418714091521914
KAZ,q5,0.23418714091521914
KEN,q1,0.15663684224163946
KEN,q2,0.11155168732824612
KEN,q3,0.11155168732824612
KEN,q4,0.11155168732824612
KEN,q5,0.11155168732824612
