iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,income_share,transfers,findex,WRP_prepare_scaleup,WRP_ew,HFA,finance_pre,ew,prepare_scaleup,borrowing_ability,avg_prod_k,k_pub_share,self_employment,real_estate_share_of_value_added,home_ownership_rate,hazard_loss,gem_building_classes,gmd_vulnerability_rel,exposure_bias,flopros
SVK,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
SVN,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
SWE,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
SWZ,available,available,available,available,available,available,available,available,available,available,,,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
TCD,available,available,available,available,available,available,available,available,available,available,,,,imputed,imputed,imputed,available,available,available,available,available,imputed,available,available,available,available,available
TGO,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
TJK,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
TUN,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,available,available
TUR,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
TZA,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,imputed,available
UGA,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
UKR,available,available,available,available,available,available,available,available,available,available,available,available,,imputed,available,available,available,available,available,available,available,imputed,available,available,,available,available
URY,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
USA,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
UZB,available,available,available,available,available,available,available,available,imputed,available,available,available,,imputed,available,available,available,available,available,available,available,imputed,available,available,,available,available
VNM,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available
ZAF,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available
ZMB,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
ZWE,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
